Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"Sunshine North",11699,
"Sunshine West",18589,
"Sydenham",12008,
"Taylors Lakes",17337,
"Altona",12685,
"Altona Meadows",19159,
"Altona North",14004,
"Newport",17574,
"Seabrook",5122,
"Williamstown",15455,
"Braybrook",18232,
"Footscray",16340,
"Maribyrnong",12221,
"Seddon - Kingsville",9237,
"West Footscray - Tottenham",11457,
"Yarraville",14801,
"Bacchus Marsh",20345,
"Hillside",20214,
"Melton",18903,
"Melton South",23437,
"Melton West",17550,
"Rockbank - Mount Cottrell",3043,
"Taylors Hill",19223,
"Burnside",4749,
"Burnside Heights",6071,
"Caroline Springs",19900,
"Hoppers Crossing - North",19225,
"Hoppers Crossing - South",19476,
"Laverton",8903,
"Tarneit",34788,
"Truganina",23409,
"Werribee - South",11334,
"Wyndham Vale",23274,
"Point Cook - East",12198,
"Point Cook - North",23177,
"Point Cook - South",14432,
"Werribee - East",19862,
"Werribee - West",11812,
"Carrum Downs",20713,
"Frankston",22568,
"Frankston North",19291,
"Frankston South",18204,
"Langwarrin",23832,
"Seaford (Vic.)",16462,
"Skye - Sandhurst",13078,
"Dromana",11024,
"Flinders",5371,
"Hastings - Somers",22019,
"Mornington",23991,
"Mount Eliza",17889,
"Mount Martha",18547,
"Point Nepean",17120,
"Rosebud - McCrae",20944,
"Somerville",18086,
"Ararat",8301,
"Ararat Region",3142,
"Horsham",16252,
"Horsham Region",3407,
"Nhill Region",6888,
"St Arnaud",3351,
"Stawell",8096,
"West Wimmera",2764,
"Yarriambiack",6623,
"Irymple",6876,
"Merbein",4773,
"Mildura Region",3722,
"Red Cliffs",5878,
"Mildura - North",18065,
"Mildura - South",14552,
"Buloke",6202,
"Gannawarra",6653,
"Kerang",3890,
"Robinvale",3313,
"Swan Hill",10907,
"Swan Hill Region",6375,
"Echuca",14577,
"Kyabram",10906,
"Lockington - Gunbower",3802,
"Rochester",3882,
"Rushworth",4037,
"Cobram",6345,
"Moira",2570,
"Numurkah",12265,
"Yarrawonga",7929,
"Mooroopna",7937,
"Shepparton - North",18603,
"Shepparton - South",23137,
"Shepparton Region - East",3850,
"Shepparton Region - West",10129,
"Glenelg (Vic.)",8720,
"Hamilton (Vic.)",9970,
"Portland",10799,
"Southern Grampians",6073,
"Camperdown",3496,
"Colac",12250,
"Colac Region",5322,
"Corangamite - North",5380,
"Corangamite - South",7159,
"Otway",3427,
"Moyne - East",6650,
"Moyne - West",9433,
"Warrnambool - North",21101,
"Warrnambool - South",12919,
"Migratory - Offshore - Shipping (Vic.)",26,
"No Usual Address (Vic.)",7572,
"Alexandra Hills",16346,
"Belmont - Gumdale",7371,
"Birkdale",14922,
"Capalaba",17593,
"Thorneside",3764,
"Wellington Point",11581,
"Cleveland",14798,
"Ormiston",5795,
"Redland Bay",15591,
"Sheldon - Mount Cotton",7904,
"Thornlands",14694,
"Victoria Point",15018,
"Redland Islands",9014,
"Brisbane Port - Lytton",9,
"Manly - Lota",7425,
"Manly West",11431,
"Murarrie",4118,
"Tingalpa",8705,
"Wakerley",8998,
"Wynnum",13230,
"Wynnum West - Hemmant",14792,
"Bald Hills",7274,
"Bridgeman Downs",8145,
"Carseldine",9033,
"Everton Park",8795,
"McDowall",7539,
"Aspley",12315,
"Chermside",9319,
"Chermside West",6251,
"Geebung",4323,
"Kedron - Gordon Park",13715,
"Stafford",6513,
"Stafford Heights",6855,
"Wavell Heights",9785,
"Boondall",9218,
"Brisbane Airport",192,
"Eagle Farm - Pinkenba",822,
"Northgate - Virginia",6591,
"Nudgee - Banyo",9618,
"Nundah",12231,
"Bracken Ridge",16935,
"Brighton (Qld)",9476,
"Deagon",3674,
"Sandgate - Shorncliffe",6781,
"Taigum - Fitzgibbon",12155,
"Zillmere",8968,
"Camp Hill",11178,
"Cannon Hill",5720,
"Carina",11029,
"Carina Heights",6547,
"Carindale",15706,
"Annerley",11388,
"Coorparoo",16037,
"Fairfield - Dutton Park",4790,
"Greenslopes",9121,
"Holland Park",8306,
"Holland Park West",6337,
"Woolloongabba",5526,
"Yeronga",9486,
"Eight Mile Plains",15161,
"Macgregor (Qld)",5846,
"Mansfield (Qld)",8725,
"Mount Gravatt",14942,
"Rochedale - Burbank",6318,
"Upper Mount Gravatt",9392,
"Wishart",10817,
"Coopers Plains",5483,
"Moorooka",10423,
"Robertson",5102,
"Salisbury - Nathan",7183,
"Tarragindi",10674,
"Algester",8432,
"Calamvale - Stretton",21250,
"Pallara - Willawong",4701,
"Parkinson - Drewvale",15581,
"Rocklea - Acacia Ridge",9559,
"Kuraby",8382,
"Runcorn",14482,
"Sunnybank",8856,
"Sunnybank Hills",18087,
"Jindalee - Mount Ommaney",7513,
"Middle Park - Jamboree Heights",7066,
"Riverhills",4043,
"Seventeen Mile Rocks - Sinnamon Park",9557,
"Westlake",4351,
"Bellbowrie - Moggill",10103,
"Brookfield - Kenmore Hills",6752,
"Chapel Hill",10310,
"Fig Tree Pocket",4044,
"Kenmore",8766,
"Pinjarra Hills - Pullenvale",5403,
"Chelmer - Graceville",7410,
"Corinda",4865,
"Indooroopilly",12139,
"Sherwood",5637,
"St Lucia",12575,
"Taringa",8453,
"Enoggera",8160,
"Enoggera Reservoir",26,
"Keperra",7082,
"Mitchelton",8360,
"Mount Coot-tha",0,
"The Gap",16474,
"Upper Kedron - Ferny Grove",9907,
"Brisbane City",10189,
"Fortitude Valley",7142,
"Highgate Hill",6328,
"Kangaroo Point",8213,
"New Farm",12787,
"South Brisbane",7229,
"Spring Hill",6066,
"West End",9618,
"Balmoral",4227,
"Bulimba",6698,
"East Brisbane",5783,
"Hawthorne",4972,
"Morningside - Seven Hills",12613,
"Norman Park",6302,
"Albion",2793,
"Alderley",6000,
"Ascot",5142,
"Clayfield",10473,
"Grange",4247,
"Hamilton (Qld)",6289,
"Hendra",4654,
"Kelvin Grove - Herston",10079,
"Newmarket",4978,
"Newstead - Bowen Hills",10639,
"Wilston",3937,
"Windsor",7187,
"Wooloowin - Lutwyche",9746,
"Ashgrove",13313,
"Auchenflower",5498,
"Bardon",9717,
"Paddington - Milton",10788,
"Red Hill (Qld)",5746,
"Toowong",10803,
"Brinsmead",5364,
"Clifton Beach - Kewarra Beach",10834,
"Freshwater - Stratford",3566,
"Redlynch",12807,
"Trinity Beach - Smithfield",13934,
"Yorkeys Knob - Machans Beach",6153,
"Bentley Park",8015,
"Cairns City",11435,
"Earlville - Bayview Heights",8268,
"Edmonton",10750,
"Gordonvale - Trinity",8666,
"Kanimbla - Mooroobool",9885,
"Lamb Range",0,
"Manoora",6023,
"Manunda",5394,
"Mount Sheridan",8275,
"Westcourt - Bungalow",6334,
"White Rock",4729,
"Whitfield - Edge Hill",8191,
"Woree",4821,
"Babinda",4238,
"Innisfail",9377,
"Johnstone",7892,
"Tully",10662,
"Wooroonooran",0,
"Yarrabah",2560,
"Daintree",6350,
"Port Douglas",5257,
"Atherton",10713,
"Herberton",5639,
"Kuranda",4495,
"Malanda - Yungaburra",8481,
"Mareeba",11078,
"Balonne",4378,
"Chinchilla",8132,
"Goondiwindi",6356,
"Inglewood - Waggamba",4246,
"Miles - Wandoan",4063,
"Roma",6853,
"Roma Region",5815,
"Tara",4222,
"Crows Nest - Rosalie",8559,
"Jondaryan",7511,
"Millmerran",3309,
"Pittsworth",5718,
"Wambo",17023,
"Clifton - Greenmount",4894,
"Southern Downs - East",4228,
"Southern Downs - West",4655,
"Stanthorpe",5409,
"Stanthorpe Region",5781,
"Warwick",15133,
"Central Highlands - East",7289,
"Central Highlands - West",8139,
"Emerald",13529,
"Berserker",6878,
"Bouldercombe",1865,
"Emu Park",5462,
"Frenchville - Mount Archer",9075,
"Glenlee - Rockyview",4980,
"Gracemere",11668,
"Lakes Creek",4876,
"Mount Morgan",2941,
"Norman Gardens",10124,
"Park Avenue",5089,
"Parkhurst - Kawana",6899,
"Rockhampton - West",5932,
"Rockhampton City",3261,
"Rockhampton Region - East",3455,
"Rockhampton Region - North",4243,
"Rockhampton Region - West",2917,
"Shoalwater Bay",14,
"The Range - Allenstown",8193,
"Yeppoon",18111,
"Banana",8555,
"Biloela",5764,
"Agnes Water - Miriam Vale",6024,
"Boyne Island - Tannum Sands",9898,
"Callemondah",21,
"Clinton - New Auckland",13462,
"Gladstone",6017,
"Gladstone Hinterland",11745,
"Kin Kora - Sun Valley",3616,
"South Trees",0,
"Telina - Toolooa",6143,
"West Gladstone",4708,
"Broadbeach Waters",7775,
"Burleigh Heads",8769,
"Burleigh Waters",14159,
"Mermaid Beach - Broadbeach",11916,
"Mermaid Waters",12168,
"Miami",6846,
"Coolangatta",5950,
"Currumbin - Tugun",11313,
"Currumbin Waters",9122,
"Elanora",12150,
"Palm Beach",14654,
"Arundel",10244,
"Biggera Waters",8535,
"Coombabah",10388,
"Labrador",18261,
"Paradise Point - Hollywell",9396,
"Runaway Bay",9069,
"Guanaba - Springbrook",4238,
"Tamborine - Canungra",14272,
"Currumbin Valley - Tallebudgera",7150,
"Mudgeeraba - Bonogin",18261,
"Reedy Creek - Andrews",7976,
"Carrara",12191,
"Highland Park",8365,
"Nerang - Mount Nathan",20532,
"Pacific Pines - Gaven",18317,
"Worongary - Tallai",7881,
"Coomera",13305,
"Helensvale",16861,
"Hope Island",11230,
"Jacobs Well - Alberton",3640,
"Ormeau - Yatala",19677,
"Oxenford - Maudsland",15790,
"Pimpama",9166,
"Upper Coomera - Willow Vale",31216,
"Clear Island Waters",4118,
"Merrimac",7070,
"Robina",23109,
"Varsity Lakes",15182,
"Ashmore",11910,
"Molendinar",6378,
"Parkwood",8706,
"Southport - North",14692,
"Southport - South",17210,
"Benowa",8739,
"Bundall",4522,
"Main Beach",3883,
"Surfers Paradise",23686,
"Darra - Sumner",4933,
"Durack",7952,
"Forest Lake - Doolandella",27708,
"Inala - Richlands",18007,
"Oxley (Qld)",7819,
"Wacol",5813,
"Boonah",11884,
"Esk",5158,
"Lake Manchester - England Creek",0,
"Lockyer Valley - East",19816,
"Lowood",14047,
"Rosewood",11807,
"Brassall",10902,
"Bundamba",8921,
"Churchill - Yamanto",6766,
"Ipswich - Central",6558,
"Ipswich - East",17893,
"Ipswich - North",4642,
"Karalee - Barellan Point",5507,
"Karana Downs",6092,
"Leichhardt - One Mile",7659,
"North Ipswich - Tivoli",6397,
"Raceview",15174,
"Ripley",4619,
"Riverview",3071,
"Bellbird Park - Brookwater",13761,
"Camira - Gailes",9238,
"Carole Park",7,
"Collingwood Park - Redbank",8519,
"Goodna",10883,
"New Chum",0,
"Redbank Plains",19304,
"Springfield",6777,
"Springfield Lakes",15428,
"Beaudesert",13917,
"Beenleigh",8253,
"Eagleby",13327,
"Edens Landing - Holmview",7452,
"Mount Warren Park",5789,
"Wolffdene - Bahrs Scrub",6105,
"Boronia Heights - Park Ridge",12239,
"Browns Plains",7374,
"Chambers Flat - Logan Reserve",5060,
"Crestmead",11989,
"Greenbank Military Camp",0,
"Hillcrest",8153,
"Marsden",14448,
"Munruben - Park Ridge South",4613,
"Regents Park - Heritage Park",15938,
"Greenbank",12845,
"Jimboomba",25744,
"Logan Village",7000,
"Bethania - Waterford",10869,
"Cornubia - Carbrook",8452,
"Loganholme - Tanah Merah",11129,
"Loganlea",10434,
"Shailer Park",11645,
"Waterford West",7243,
"Daisy Hill",6636,
"Kingston (Qld.)",10412,
"Logan Central",6136,
"Rochedale South - Priestdale",15455,
"Slacks Creek",10431,
"Springwood",9278,
"Underwood",6344,
"Woodridge",12580,
"Bowen",9100,
"Broadsound - Nebo",8505,
"Clermont",3697,
"Collinsville",3460,
"Moranbah",8735,
"Andergrove - Beaconsfield",14910,
"East Mackay",3573,
"Eimeo - Rural View",12327,
"Eungella Hinterland",13,
"Mackay",3655,
"Mackay Harbour",518,
"Mount Pleasant - Glenella",10708,
"North Mackay",5999,
"Ooralea - Bakers Creek",5034,
"Pioneer Valley",8211,
"Sarina",11616,
"Seaforth - Calen",8126,
"Shoal Point - Bucasia",5749,
"Slade Point",3348,
"South Mackay",6708,
"Walkerston - Eton",8324,
"West Mackay",6160,
"Airlie - Whitsundays",12932,
"Cape Conway",0,
"Proserpine",8294,
"Beachmere - Sandstone Point",14892,
"Bribie Island",18145,
"Burpengary - East",3967,
"Caboolture",26825,
"Caboolture - South",20344,
"Elimbah",3962,
"Morayfield - East",8433,
"Wamuran",3928,
"Kilcoy",5383,
"Woodford - D'Aguilar",7851,
"Burpengary",14022,
"Deception Bay",22449,
"Morayfield",4826,
"Narangba",18575,
"Upper Caboolture",3021,
"Clontarf",8252,
"Margate - Woody Point",11695,
"Redcliffe",10161,
"Rothwell - Kippa-Ring",17139,
"Scarborough - Newport - Moreton Island",12226,
"Albany Creek",15800,
"Cashmere",18805,
"Dayboro",8490,
"Eatons Hill",7972,
"The Hills District",23364,
"Samford Valley",11757,
"Dakabin - Kallangur",23929,
"Murrumba Downs - Griffin",17519,
"North Lakes - Mango Hill",30104,
"Bray Park",10246,
"Lawnton",6016,
"Petrie",8689,
"Strathpine - Brendale",12266,
"Aurukun",1275,
"Cape York",7516,
"Croydon - Etheridge",1090,
"Kowanyama - Pormpuraaw",1698,
"Northern Peninsula",2796,
"Tablelands",5981,
"Torres",3612,
"Torres Strait Islands",4517,
"Weipa",3903,
"Carpentaria",4828,
"Mount Isa",18342,
"Mount Isa Region",3357,
"Northern Highlands",3124,
"Barcaldine - Blackall",4765,
"Charleville",4309,
"Far Central West",2117,
"Far South West",2803,
"Longreach",3663,
"Buderim - North",16616,
"Buderim - South",16322,
"Mountain Creek",11255,
"Sippy Downs",10298,
"Aroona - Currimundi",10072,
"Buddina - Minyama",6428,
"Caloundra - Kings Beach",6704,
"Caloundra - West",20278,
"Golden Beach - Pelican Waters",11851,
"Moffat Beach - Battery Hill",7835,
"Parrearra - Warana",9505,
"Wurtulla - Birtinya",7838,
"Coolum Beach",14590,
"Marcoola - Mudjimba",10867,
"Maroochydore - Kuluin",19163,
"Mooloolaba - Alexandra Headland",11692,
"Noosa Heads",4489,
"Noosaville",8734,
"Sunshine Beach",6530,
"Tewantin",10306,
"Peregian Beach - Marcus Beach",3755,
"Peregian Springs",7340,
"Beerwah",8201,
"Caloundra Hinterland",8539,
"Glass House Mountains",5838,
"Landsborough",10140,
"Maroochy Hinterland",6255,
"Palmwoods",10612,
"Bli Bli",8355,
"Diddillibah - Rosemount",3766,
"Eumundi - Yandina",10546,
"Nambour",19961,
"Noosa Hinterland",21851,
"Cambooya - Wyreema",6961,
"Darling Heights",13743,
"Drayton - Harristown",10195,
"Gatton",7431,
"Gowrie (Qld)",6413,
"Highfields",13177,
"Lockyer Valley - West",11361,
"Middle Ridge",7142,
"Newtown (Qld)",9596,
"North Toowoomba - Harlaxton",5738,
"Rangeville",8309,
"Toowoomba - Central",13375,
"Toowoomba - East",9754,
"Toowoomba - West",13004,
"Wilsonton",13312,
"Ayr",9097,
"Burdekin",7916,
"Charters Towers",8126,
"Dalrymple",3755,
"Ingham",4428,
"Ingham Region",6454,
"Palm Island",2443,
"Aitkenvale",4792,
"Annandale",10066,
"Belgian Gardens - Pallarenda",3284,
"Bohle Plains",7235,
"Condon - Rasmussen",10476,
"Cranbrook",5913,
"Deeragun",22405,
"Douglas",7741,
"Garbutt - West End",6532,
"Gulliver - Currajong - Vincent",7728,
"Heatley",4036,
"Hermit Park - Rosslea",5151,
"Hyde Park - Pimlico",4650,
"Kelso",10627,
"Kirwan - East",7818,
"Kirwan - West",15555,
"Magnetic Island",2342,
"Mount Louisa",9260,
"Mundingburra",3625,
"Northern Beaches",6363,
"Oonoonba",6552,
"South Townsville - Railway Estate",5209,
"Townsville - South",4300,
"Townsville City - North Ward",9053,
"Wulguru - Roseneath",6098,
"Ashfield - Kepnock",5228,
"Bargara - Burnett Heads",16595,
"Branyan - Kensington",4706,
"Bundaberg",6122,
"Bundaberg East - Kalkie",5473,
"Bundaberg North - Gooburrum",7217,
"Bundaberg Region - North",8866,
"Bundaberg Region - South",9837,
"Millbank - Avoca",7417,
"Svensson Heights - Norville",5613,
"Walkervale - Avenell Heights",10696,
"Gayndah - Mundubbera",6657,
"Gin Gin",5115,
"Kingaroy",10288,
"Kingaroy Region - North",9570,
"Kingaroy Region - South",3922,
"Monto - Eidsvold",3830,
"Nanango",9679,
"North Burnett",8,
"Cooloola",6265,
"Gympie - North",14217,
"Gympie - South",6748,
"Gympie Region",18567,
"Kilkivan",3687,
"Booral - River Heads",4602,
"Craignish - Dundowran Beach",4815,
"Pialba - Eli Waters",13950,
"Point Vernon",5693,
"Torquay - Scarness - Kawungan",15001,
"Urangan - Wondunna",12614,
"Burrum - Fraser",9570,
"Granville",3208,
"Maryborough (Qld)",18240,
"Maryborough Region - South",8390,
"Tinana",5477,
"Migratory - Offshore - Shipping (Qld)",152,
"No Usual Address (Qld)",12515,
"Adelaide",15113,
"North Adelaide",6953,
"Adelaide Hills",6830,
"Aldgate - Stirling",17472,
"Hahndorf - Echunga",4468,
"Lobethal - Woodside",9023,
"Mount Barker",17367,
"Mount Barker Region",6285,
"Nairne",5045,
"Uraidla - Summertown",5418,
"Burnside - Wattle Park",18517,
"Glenside - Beaumont",9607,
"Toorak Gardens",15788,
"Athelstone",9150,
"Paradise - Newton",19720,
"Rostrevor - Magill",21654,
"Norwood (SA)",10066,
"Payneham - Felixstow",12338,
"St Peters - Marden",12953,
"Nailsworth - Broadview",6082,
"Prospect",14445,
"Walkerville",7553,
"Goodwood - Millswood",17582,
"Unley - Parkside",20136,
"Gawler - North",9200,
"Gawler - South",19796,
"Lewiston - Two Wells",5633,
"Craigmore - Blakeview",18121,
"Davoren Park",17657,
"Elizabeth",10373,
"Elizabeth East",12913,
"Munno Para West - Angle Vale",12130,
"One Tree Hill",2517,
"Smithfield - Elizabeth North",12234,
"Virginia - Waterloo Corner",4219,
"Enfield - Blair Athol",23173,
"Northgate - Oakden - Gilles Plains",24591,
"Windsor Gardens",20289,
"Dry Creek - North",0,
"Ingle Farm",14834,
"Para Hills",14586,
"Parafield",105,
"Parafield Gardens",16943,
"Paralowie",16745,
"Salisbury",17609,
"Salisbury East",17533,
"Salisbury North",17212,
"Mawson Lakes - Globe Derby Park",13330,
"Pooraka - Cavan",7736,
"Golden Grove",10347,
"Greenwith",8991,
"Highbury - Dernancourt",10474,
"Hope Valley - Modbury",16429,
"Modbury Heights",18897,
"Redwood Park",16050,
"St Agnes - Ridgehaven",12428,
"Brighton (SA)",13830,
"Glenelg (SA)",19869,
"Edwardstown",13502,
"Hallett Cove",12394,
"Marino - Seaview Downs",9275,
"Mitchell Park",15150,
"Morphettville",14660,
"Sheidow Park - Trott Park",10115,
"Warradale",14965,
"Belair",4600,
"Bellevue Heights",7431,
"Blackwood",11992,
"Colonel Light Gardens",15600,
"Mitcham (SA)",15837,
"Panorama",8069,
"Aberfoyle Park",11658,
"Aldinga",15381,
"Christie Downs",9335,
"Christies Beach",10237,
"Clarendon",2654,
"Coromandel Valley",4313,
"Flagstaff Hill",10527,
"Hackham - Onkaparinga Hills",6313,
"Hackham West - Huntfield Heights",7588,
"Happy Valley",13614,
"Happy Valley Reservoir",0,
"Lonsdale",24,
"McLaren Vale",5979,
"Morphett Vale - East",13600,
"Morphett Vale - West",9537,
"Reynella",10152,
"Seaford (SA)",22362,
"Willunga",3390,
"Woodcroft",11375,
"Beverley",7768,
"Flinders Park",14465,
"Henley Beach",14840,
"Hindmarsh - Brompton",17624,
"Royal Park - Hendon - Albert Park",5868,
"Seaton - Grange",16279,
"West Lakes",14363,
"Woodville - Cheltenham",17487,
"Dry Creek - South",0,
"Largs Bay - Semaphore",14485,
"North Haven",14246,
"Port Adelaide",10785,
"The Parks",18442,
"Torrens Island",5,
"Adelaide Airport",0,
"Fulham",2702,
"Lockleys",12711,
"Plympton",24241,
"Richmond (SA)",16465,
"West Beach",4965,
"Barossa - Angaston",6112,
"Light",8964,
"Lyndoch",6153,
"Mallala",3166,
"Nuriootpa",6546,
"Tanunda",4547,
"Clare",4044,
"Gilbert Valley",4896,
"Goyder",4157,
"Wakefield - Barunga West",9450,
"Jamestown",4566,
"Peterborough - Mount Remarkable",5395,
"Port Pirie",14007,
"Port Pirie Region",3307,
"Kadina",5267,
"Moonta",4834,
"Wallaroo",4040,
"Yorke Peninsula - North",7128,
"Yorke Peninsula - South",3933,
"Ceduna",2556,
"Eyre Peninsula",6494,
"Kimba - Cleve - Franklin Harbour",4244,
"Le Hunte - Elliston",2262,
"Port Lincoln",15686,
"West Coast (SA)",3532,
"Western",74,
"Whyalla",21754,
"Whyalla - North",0,
"APY Lands",2270,
"Coober Pedy",1766,
"Quorn - Lake Gilles",2136,
"Outback",2637,
"Port Augusta",13516,
"Roxby Downs",3891,
"Goolwa - Port Elliot",11125,
"Kangaroo Island",4702,
"Strathalbyn",7097,
"Strathalbyn Region",7364,
"Victor Harbor",14374,
"Yankalilla",5730,
"Grant",5833,
"Kingston - Robe",3721,
"Millicent",5255,
"Naracoorte",6038,
"Naracoorte Region",2249,
"Penola",3118,
"Tatiara",6620,
"Wattle Range",3273,
"Mount Gambier - East",14669,
"Mount Gambier - West",14011,
"Barmera",6503,
"Berri",4086,
"Karoonda - Lameroo",3028,
"Loxton",5364,
"Loxton Region",1700,
"Mannum",6183,
"Murray Bridge",17557,
"Murray Bridge Region",3644,
"Renmark",4638,
"Renmark Region",4843,
"The Coorong",5391,
"Waikerie",6608,
"Migratory - Offshore - Shipping (SA)",8,
"No Usual Address (SA)",2862,
"Augusta",5432,
"Busselton",26334,
"Busselton Region",10283,
"Margaret River",8828,
"Australind - Leschenault",17588,
"Capel",5196,
"College Grove - Carey Park",6744,
"Collie",8798,
"Dardanup",3143,
"Davenport",14,
"Eaton - Pelican Point",11758,
"Harvey",8956,
"East Bunbury - Glen Iris",6991,
"Waroona",4150,
"Dalyellup",8995,
"Gelorup - Stratham",3007,
"South Bunbury - Bunbury",12156,
"Withers - Usher",5142,
"Bridgetown - Boyup Brook",6361,
"Donnybrook - Balingup",5871,
"Manjimup",5539,
"Pemberton",5039,
"Dawesville - Bouvard",7087,
"Falcon - Wannanup",8785,
"Greenfields",9857,
"Halls Head - Erskine",18531,
"Mandurah",9091,
"Mandurah - East",5816,
"Mandurah - North",17780,
"Mandurah - South",10165,
"Pinjarra",9627,
"City Beach",6611,
"Claremont (WA)",8149,
"Cottesloe",7370,
"Floreat",7900,
"Mosman Park - Peppermint Grove",10396,
"Nedlands - Dalkeith - Crawley",18531,
"Swanbourne - Mount Claremont",8676,
"Kings Park (WA)",20,
"Mount Hawthorn - Leederville",10702,
"Mount Lawley - Inglewood",16516,
"North Perth",8825,
"Perth City",31296,
"Subiaco - Shenton Park",16463,
"Wembley - West Leederville - Glendalough",17848,
"Bassendean - Eden Hill - Ashfield",15093,
"Bayswater - Embleton - Bedford",22955,
"Maylands",12714,
"Morley",21712,
"Noranda",7978,
"Chidlow",4715,
"Glen Forrest - Darlington",7055,
"Helena Valley - Koongamia",5315,
"Malmalling - Reservoir",11,
"Mundaring",12866,
"Swan View - Greenmount - Midvale",12073,
"Avon Valley National Park",6,
"Ballajura",18746,
"Beechboro",18093,
"Bullsbrook",5181,
"Ellenbrook",36119,
"Gidgegannup",2741,
"Hazelmere - Guildford",4186,
"Lockridge - Kiara",10574,
"Malaga",8,
"Melaleuca - Lexia",3,
"Middle Swan - Herne Hill",5412,
"Midland - Guildford",10672,
"Stratton - Jane Brook",6885,
"The Vines",9903,
"Walyunga National Park",0,
"Craigie - Beldon",9803,
"Currambine - Kinross",13799,
"Duncraig",15272,
"Greenwood - Warwick",13348,
"Heathridge - Connolly",10308,
"Hillarys",10807,
"Iluka - Burns Beach",8638,
"Joondalup - Edgewater",13602,
"Kingsley",13059,
"Mullaloo - Kallaroo",11169,
"Ocean Reef",7843,
"Padbury",8184,
"Sorrento - Marmion",9620,
"Woodvale",9281,
"Balcatta - Hamersley",15361,
"Balga - Mirrabooka",20049,
"Dianella",24129,
"Herdsman",0,
"Innaloo - Doubleview",16555,
"Karrinyup - Gwelup - Carine",20303,
"Nollamara - Westminster",17769,
"Osborne Park Industrial",12,
"Scarborough",15423,
"Stirling - Osborne Park",13747,
"Trigg - North Beach - Watermans Bay",7522,
"Tuart Hill - Joondanna",11894,
"Wembley Downs - Churchlands - Woodlands",13945,
"Yokine - Coolbinia - Menora",15714,
"Alexander Heights - Koondoola",11976,
"Butler - Merriwa - Ridgewood",23440,
"Carramar",16618,
"Clarkson",12968,
"Girrawheen",8759,
"Madeley - Darch - Landsdale",25405,
"Marangaroo",10587,
"Mindarie - Quinns Rocks - Jindalee",18780,
"Neerabup National Park",9,
"Tapping - Ashby - Sinagra",13263,
"Wanneroo",25621,
"Alkimos - Eglinton",7946,
"Carabooda - Pinjar",729,
"Two Rocks",2991,
"Yanchep",8862,
"Armadale - Wungong - Brookdale",19046,
"Ashendon - Lesley",18,
"Camillo - Champion Lakes",5532,
"Forrestdale - Harrisdale - Piara Waters",19265,
"Kelmscott",10479,
"Mount Nasura - Mount Richon - Bedfordale",7959,
"Roleystone",7033,
"Seville Grove",10273,
"Belmont - Ascot - Redcliffe",14324,
"East Victoria Park - Carlisle",16550,
"Kewdale Commercial",6,
"Perth Airport",27,
"Rivervale - Kewdale - Cloverdale",25326,
"Victoria Park - Lathlain - Burswood",14481,
"Bentley - Wilson - St James",20062,
"Canning Vale - West",9997,
"Canning Vale Commercial",0,
"Cannington - Queens Park",18047,
"Parkwood - Ferndale - Lynwood",13806,
"Riverton - Shelley - Rossmoyne",13485,
"Welshpool",25,
"Willetton",18187,
"Beckenham - Kenwick - Langford",18875,
"Canning Vale - East",23065,
"Gosnells",20285,
"Huntingdale - Southern River",19041,
"Maddington - Orange Grove - Martin",13649,
"Thornlie",23152,
"Forrestfield - Wattle Grove",18666,
"High Wycombe",12307,
"Kalamunda - Maida Vale - Gooseberry Hill",14891,
"Lesmurdie - Bickley - Carmel",11591,
"Byford",16108,
"Mundijong",6350,
"Serpentine - Jarrahdale",4416,
"Como",14014,
"Manning - Waterford",11453,
"South Perth - Kensington",16576,
"Banjup",17533,
"Bibra Industrial",7,
"Bibra Lake",0,
"Coogee",8768,
"Coolbellup",8145,
"Hamilton Hill",10385,
"Henderson",18,
"North Coogee",2382,
"South Lake - Cockburn Central",11466,
"Spearwood",10106,
"Success - Hammond Park",14909,
"Yangebup",7476,
"Beeliar - Wattleup",8234,
"Jandakot",2596,
"East Fremantle",7375,
"Fremantle",14844,
"Fremantle - South",14370,
"O'Connor (WA)",17,
"Bertram - Wellard (West)",14015,
"Calista",7670,
"Hope Valley - Postans",66,
"Kwinana Industrial",26,
"Parmelia - Orelia",10963,
"Casuarina - Wandi",6185,
"Applecross - Ardross",11037,
"Bateman",3717,
"Bicton - Palmyra",13681,
"Booragoon",14448,
"Bull Creek",7743,
"Leeming",10729,
"Melville",16278,
"Murdoch - Kardinya",12255,
"Willagee",4872,
"Winthrop",5908,
"Baldivis",33029,
"Cooloongup",8589,
"Port Kennedy",13779,
"Rockingham",15434,
"Rockingham Lakes",13,
"Safety Bay - Shoalwater",11509,
"Singleton - Golden Bay - Secret Harbour",19609,
"Waikiki",12452,
"Warnbro",10699,
"Albany",14251,
"Albany Region",3439,
"Bayonet Head - Lower King",4831,
"Denmark",5850,
"Gnowangerup",2884,
"Katanning",4561,
"Kojonup",4214,
"Little Grove - Elleker",3630,
"McKail - Willyung",10431,
"Plantagenet",5078,
"Stirling Range National Park",0,
"Chittering",5474,
"Cunderdin",4102,
"Dowerin",3985,
"Gingin - Dandaragan",8432,
"Merredin",5088,
"Moora",4774,
