POSTCODE,POSTCODE,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2824,2824,13,Remote Australia,0.3385115,Acceptable,Good,0
2825,2825,13,Remote Australia,1,Acceptable,Good,0
2826,2826,13,Remote Australia,1,Acceptable,Good,0
2827,2827,12,Outer Regional Australia,1,Acceptable,Good,0
2828,2828,12,Outer Regional Australia,0.6555069,Acceptable,Good,0
2828,2828,13,Remote Australia,0.3444931,Acceptable,Good,0
2829,2829,13,Remote Australia,1,Acceptable,Good,0
2830,2830,11,Inner Regional Australia,0.9133868,Good,Good,0
2830,2830,12,Outer Regional Australia,0.0866132,Acceptable,Good,0
2831,2831,12,Outer Regional Australia,0.6017934,Acceptable,Good,0
2831,2831,13,Remote Australia,0.3817496,Acceptable,Good,0
2831,2831,14,Very Remote Australia,0.016457,Acceptable,Good,0
2832,2832,13,Remote Australia,0.9078133,Acceptable,Good,0
2832,2832,14,Very Remote Australia,0.0921867,Acceptable,Good,0
2833,2833,13,Remote Australia,1,Acceptable,Good,0
2834,2834,13,Remote Australia,0.9878164,Acceptable,Good,0
2834,2834,14,Very Remote Australia,0.0121836,Acceptable,Good,0
2835,2835,13,Remote Australia,0.8915986,Acceptable,Good,0
2835,2835,14,Very Remote Australia,0.1084014,Acceptable,Good,0
2836,2836,14,Very Remote Australia,1,Acceptable,Good,0
2838,2838,14,Very Remote Australia,1,Acceptable,Good,0
2839,2839,14,Very Remote Australia,1,Acceptable,Good,0
2840,2840,14,Very Remote Australia,1,Acceptable,Good,0
2842,2842,12,Outer Regional Australia,1,Acceptable,Good,0
2843,2843,12,Outer Regional Australia,1,Acceptable,Good,0
2844,2844,12,Outer Regional Australia,1,Acceptable,Good,0
2845,2845,11,Inner Regional Australia,1,Good,Good,0
2846,2846,11,Inner Regional Australia,0.5703724,Good,Good,0
2846,2846,12,Outer Regional Australia,0.4296276,Acceptable,Good,0
2847,2847,11,Inner Regional Australia,1,Good,Good,0
2848,2848,11,Inner Regional Australia,0.7864454,Good,Good,0
2848,2848,12,Outer Regional Australia,0.2135546,Acceptable,Good,0
2849,2849,12,Outer Regional Australia,1,Acceptable,Good,0
2850,2850,11,Inner Regional Australia,0.6594923,Good,Good,0
2850,2850,12,Outer Regional Australia,0.3405077,Acceptable,Good,0
2852,2852,12,Outer Regional Australia,1,Acceptable,Good,0
2864,2864,11,Inner Regional Australia,0.1350507,Good,Good,0
2864,2864,12,Outer Regional Australia,0.8649493,Acceptable,Good,0
2865,2865,12,Outer Regional Australia,1,Acceptable,Good,0
2866,2866,11,Inner Regional Australia,0.7433232,Good,Good,0
2866,2866,12,Outer Regional Australia,0.2566768,Acceptable,Good,0
2867,2867,12,Outer Regional Australia,1,Acceptable,Good,0
2868,2868,12,Outer Regional Australia,1,Acceptable,Good,0
2869,2869,12,Outer Regional Australia,1,Acceptable,Good,0
2870,2870,12,Outer Regional Australia,1,Acceptable,Good,0
2871,2871,12,Outer Regional Australia,1,Acceptable,Good,0
2873,2873,13,Remote Australia,1,Acceptable,Good,0
2874,2874,12,Outer Regional Australia,0.8405652,Acceptable,Good,0
2874,2874,13,Remote Australia,0.1594348,Acceptable,Good,0
2875,2875,12,Outer Regional Australia,0.8381797,Acceptable,Good,0
2875,2875,13,Remote Australia,0.1618203,Acceptable,Good,0
2876,2876,12,Outer Regional Australia,1,Acceptable,Good,0
2877,2877,12,Outer Regional Australia,0.7857718,Acceptable,Good,0
2877,2877,13,Remote Australia,0.2142282,Acceptable,Good,0
2878,2878,13,Remote Australia,0.1284887,Acceptable,Good,0
2878,2878,14,Very Remote Australia,0.8715113,Acceptable,Good,0
2879,2879,13,Remote Australia,0.0002682,Acceptable,Good,1
2879,2879,14,Very Remote Australia,0.9997318,Acceptable,Good,0
2880,2880,12,Outer Regional Australia,0.9729703,Acceptable,Good,0
2880,2880,13,Remote Australia,0.0181702,Acceptable,Good,0
2880,2880,14,Very Remote Australia,0.0088595,Acceptable,Good,1
2898,2898,14,Very Remote Australia,1,Acceptable,Good,0
2899,2899,94,Very Remote Australia,1,Good,Good,0
2900,2900,80,Major Cities of Australia,1,Good,Good,0
2902,2902,80,Major Cities of Australia,1,Good,Good,0
2903,2903,80,Major Cities of Australia,1,Good,Good,0
2904,2904,80,Major Cities of Australia,1,Good,Good,0
2905,2905,80,Major Cities of Australia,1,Good,Good,0
2906,2906,80,Major Cities of Australia,1,Good,Good,0
2911,2911,80,Major Cities of Australia,1,Good,Good,0
2912,2912,80,Major Cities of Australia,1,Good,Good,0
2913,2913,80,Major Cities of Australia,1,Good,Good,0
2914,2914,80,Major Cities of Australia,1,Good,Good,0
3000,3000,20,Major Cities of Australia,1,Good,Good,0
3002,3002,20,Major Cities of Australia,1,Good,Good,0
3003,3003,20,Major Cities of Australia,1,Good,Good,0
3004,3004,20,Major Cities of Australia,1,Good,Good,0
3006,3006,20,Major Cities of Australia,1,Good,Good,0
3008,3008,20,Major Cities of Australia,1,Good,Good,0
3011,3011,20,Major Cities of Australia,1,Good,Good,0
3012,3012,20,Major Cities of Australia,1,Good,Good,0
3013,3013,20,Major Cities of Australia,1,Good,Good,0
3015,3015,20,Major Cities of Australia,1,Good,Good,0
3016,3016,20,Major Cities of Australia,1,Good,Good,0
3018,3018,20,Major Cities of Australia,1,Good,Good,0
3019,3019,20,Major Cities of Australia,1,Good,Good,0
3020,3020,20,Major Cities of Australia,1,Good,Good,0
3021,3021,20,Major Cities of Australia,1,Good,Good,0
3022,3022,20,Major Cities of Australia,1,Good,Good,0
3023,3023,20,Major Cities of Australia,1,Good,Good,0
3024,3024,20,Major Cities of Australia,0.9996452,Good,Good,0
3024,3024,21,Inner Regional Australia,0.0003548,Good,Good,1
3025,3025,20,Major Cities of Australia,1,Good,Good,0
3026,3026,20,Major Cities of Australia,1,Good,Good,0
3027,3027,20,Major Cities of Australia,1,Good,Good,0
3028,3028,20,Major Cities of Australia,1,Good,Good,0
3029,3029,20,Major Cities of Australia,1,Good,Good,0
3030,3030,20,Major Cities of Australia,0.9847525,Good,Good,0
3030,3030,21,Inner Regional Australia,0.0152475,Good,Good,0
3031,3031,20,Major Cities of Australia,1,Good,Good,0
3032,3032,20,Major Cities of Australia,1,Good,Good,0
3033,3033,20,Major Cities of Australia,1,Good,Good,0
3034,3034,20,Major Cities of Australia,1,Good,Good,0
3036,3036,20,Major Cities of Australia,1,Good,Good,0
3037,3037,20,Major Cities of Australia,1,Good,Good,0
3038,3038,20,Major Cities of Australia,1,Good,Good,0
3039,3039,20,Major Cities of Australia,1,Good,Good,0
3040,3040,20,Major Cities of Australia,1,Good,Good,0
3041,3041,20,Major Cities of Australia,1,Good,Good,0
3042,3042,20,Major Cities of Australia,1,Good,Good,0
3043,3043,20,Major Cities of Australia,1,Good,Good,0
3044,3044,20,Major Cities of Australia,1,Good,Good,0
3045,3045,20,Major Cities of Australia,1,Good,Good,0
3046,3046,20,Major Cities of Australia,1,Good,Good,0
3047,3047,20,Major Cities of Australia,1,Good,Good,0
3048,3048,20,Major Cities of Australia,1,Good,Good,0
3049,3049,20,Major Cities of Australia,1,Good,Good,0
3051,3051,20,Major Cities of Australia,1,Good,Good,0
3052,3052,20,Major Cities of Australia,1,Good,Good,0
3053,3053,20,Major Cities of Australia,1,Good,Good,0
3054,3054,20,Major Cities of Australia,1,Good,Good,0
3055,3055,20,Major Cities of Australia,1,Good,Good,0
3056,3056,20,Major Cities of Australia,1,Good,Good,0
3057,3057,20,Major Cities of Australia,1,Good,Good,0
3058,3058,20,Major Cities of Australia,1,Good,Good,0
3059,3059,20,Major Cities of Australia,1,Good,Good,0
3060,3060,20,Major Cities of Australia,1,Good,Good,0
3061,3061,20,Major Cities of Australia,1,Good,Good,0
3062,3062,20,Major Cities of Australia,1,Good,Good,0
3063,3063,20,Major Cities of Australia,1,Good,Good,0
3064,3064,20,Major Cities of Australia,1,Good,Good,0
3065,3065,20,Major Cities of Australia,1,Good,Good,0
3066,3066,20,Major Cities of Australia,1,Good,Good,0
3067,3067,20,Major Cities of Australia,1,Good,Good,0
3068,3068,20,Major Cities of Australia,1,Good,Good,0
3070,3070,20,Major Cities of Australia,1,Good,Good,0
3071,3071,20,Major Cities of Australia,1,Good,Good,0
3072,3072,20,Major Cities of Australia,1,Good,Good,0
3073,3073,20,Major Cities of Australia,1,Good,Good,0
3074,3074,20,Major Cities of Australia,1,Good,Good,0
3075,3075,20,Major Cities of Australia,1,Good,Good,0
3076,3076,20,Major Cities of Australia,1,Good,Good,0
3078,3078,20,Major Cities of Australia,1,Good,Good,0
3079,3079,20,Major Cities of Australia,1,Good,Good,0
3081,3081,20,Major Cities of Australia,1,Good,Good,0
3082,3082,20,Major Cities of Australia,1,Good,Good,0
3083,3083,20,Major Cities of Australia,1,Good,Good,0
3084,3084,20,Major Cities of Australia,1,Good,Good,0
3085,3085,20,Major Cities of Australia,1,Good,Good,0
3087,3087,20,Major Cities of Australia,1,Good,Good,0
3088,3088,20,Major Cities of Australia,1,Good,Good,0
3089,3089,20,Major Cities of Australia,1,Good,Good,0
3090,3090,20,Major Cities of Australia,1,Good,Good,0
3091,3091,20,Major Cities of Australia,1,Good,Good,0
3093,3093,20,Major Cities of Australia,1,Good,Good,0
3094,3094,20,Major Cities of Australia,1,Good,Good,0
3095,3095,20,Major Cities of Australia,1,Good,Good,0
3096,3096,20,Major Cities of Australia,1,Good,Good,0
3097,3097,20,Major Cities of Australia,0.538485,Good,Good,0
3097,3097,21,Inner Regional Australia,0.461515,Good,Good,0
3099,3099,20,Major Cities of Australia,0.7969352,Good,Good,0
3099,3099,21,Inner Regional Australia,0.2030648,Good,Good,0
3101,3101,20,Major Cities of Australia,1,Good,Good,0
3102,3102,20,Major Cities of Australia,1,Good,Good,0
3103,3103,20,Major Cities of Australia,1,Good,Good,0
3104,3104,20,Major Cities of Australia,1,Good,Good,0
3105,3105,20,Major Cities of Australia,1,Good,Good,0
3106,3106,20,Major Cities of Australia,1,Good,Good,0
3107,3107,20,Major Cities of Australia,1,Good,Good,0
3108,3108,20,Major Cities of Australia,1,Good,Good,0
3109,3109,20,Major Cities of Australia,1,Good,Good,0
3111,3111,20,Major Cities of Australia,1,Good,Good,0
3113,3113,20,Major Cities of Australia,1,Good,Good,0
3114,3114,20,Major Cities of Australia,1,Good,Good,0
3115,3115,20,Major Cities of Australia,0.9499273,Good,Good,0
3115,3115,21,Inner Regional Australia,0.0500727,Good,Good,0
3116,3116,20,Major Cities of Australia,1,Good,Good,0
3121,3121,20,Major Cities of Australia,1,Good,Good,0
3122,3122,20,Major Cities of Australia,1,Good,Good,0
3123,3123,20,Major Cities of Australia,1,Good,Good,0
3124,3124,20,Major Cities of Australia,1,Good,Good,0
3125,3125,20,Major Cities of Australia,1,Good,Good,0
3126,3126,20,Major Cities of Australia,1,Good,Good,0
3127,3127,20,Major Cities of Australia,1,Good,Good,0
3128,3128,20,Major Cities of Australia,1,Good,Good,0
3129,3129,20,Major Cities of Australia,1,Good,Good,0
3130,3130,20,Major Cities of Australia,1,Good,Good,0
3131,3131,20,Major Cities of Australia,1,Good,Good,0
3132,3132,20,Major Cities of Australia,1,Good,Good,0
3133,3133,20,Major Cities of Australia,1,Good,Good,0
3134,3134,20,Major Cities of Australia,1,Good,Good,0
3135,3135,20,Major Cities of Australia,1,Good,Good,0
3136,3136,20,Major Cities of Australia,1,Good,Good,0
3137,3137,20,Major Cities of Australia,1,Good,Good,0
3138,3138,20,Major Cities of Australia,1,Good,Good,0
3139,3139,20,Major Cities of Australia,0.4593698,Good,Good,0
3139,3139,21,Inner Regional Australia,0.5406302,Good,Good,0
3140,3140,20,Major Cities of Australia,1,Good,Good,0
3141,3141,20,Major Cities of Australia,1,Good,Good,0
3142,3142,20,Major Cities of Australia,1,Good,Good,0
3143,3143,20,Major Cities of Australia,1,Good,Good,0
3144,3144,20,Major Cities of Australia,1,Good,Good,0
3145,3145,20,Major Cities of Australia,1,Good,Good,0
3146,3146,20,Major Cities of Australia,1,Good,Good,0
3147,3147,20,Major Cities of Australia,1,Good,Good,0
3148,3148,20,Major Cities of Australia,1,Good,Good,0
3149,3149,20,Major Cities of Australia,1,Good,Good,0
3150,3150,20,Major Cities of Australia,1,Good,Good,0
3151,3151,20,Major Cities of Australia,1,Good,Good,0
3152,3152,20,Major Cities of Australia,1,Good,Good,0
3153,3153,20,Major Cities of Australia,1,Good,Good,0
3154,3154,20,Major Cities of Australia,1,Good,Good,0
3155,3155,20,Major Cities of Australia,1,Good,Good,0
3156,3156,20,Major Cities of Australia,1,Good,Good,0
3158,3158,20,Major Cities of Australia,1,Good,Good,0
3159,3159,20,Major Cities of Australia,1,Good,Good,0
3160,3160,20,Major Cities of Australia,1,Good,Good,0
3161,3161,20,Major Cities of Australia,1,Good,Good,0
3162,3162,20,Major Cities of Australia,1,Good,Good,0
3163,3163,20,Major Cities of Australia,1,Good,Good,0
3165,3165,20,Major Cities of Australia,1,Good,Good,0
3166,3166,20,Major Cities of Australia,1,Good,Good,0
3167,3167,20,Major Cities of Australia,1,Good,Good,0
3168,3168,20,Major Cities of Australia,1,Good,Good,0
3169,3169,20,Major Cities of Australia,1,Good,Good,0
3170,3170,20,Major Cities of Australia,1,Good,Good,0
3171,3171,20,Major Cities of Australia,1,Good,Good,0
3172,3172,20,Major Cities of Australia,1,Good,Good,0
3173,3173,20,Major Cities of Australia,1,Good,Good,0
3174,3174,20,Major Cities of Australia,1,Good,Good,0
3175,3175,20,Major Cities of Australia,1,Good,Good,0
3177,3177,20,Major Cities of Australia,1,Good,Good,0
3178,3178,20,Major Cities of Australia,1,Good,Good,0
3179,3179,20,Major Cities of Australia,1,Good,Good,0
3180,3180,20,Major Cities of Australia,1,Good,Good,0
3181,3181,20,Major Cities of Australia,1,Good,Good,0
3182,3182,20,Major Cities of Australia,1,Good,Good,0
3183,3183,20,Major Cities of Australia,1,Good,Good,0
3184,3184,20,Major Cities of Australia,1,Good,Good,0
3185,3185,20,Major Cities of Australia,1,Good,Good,0
3186,3186,20,Major Cities of Australia,1,Good,Good,0
3187,3187,20,Major Cities of Australia,1,Good,Good,0
3188,3188,20,Major Cities of Australia,1,Good,Good,0
3189,3189,20,Major Cities of Australia,1,Good,Good,0
3190,3190,20,Major Cities of Australia,1,Good,Good,0
3191,3191,20,Major Cities of Australia,1,Good,Good,0
3192,3192,20,Major Cities of Australia,1,Good,Good,0
3193,3193,20,Major Cities of Australia,1,Good,Good,0
3194,3194,20,Major Cities of Australia,1,Good,Good,0
3195,3195,20,Major Cities of Australia,1,Good,Good,0
3196,3196,20,Major Cities of Australia,1,Good,Good,0
3197,3197,20,Major Cities of Australia,1,Good,Good,0
3198,3198,20,Major Cities of Australia,1,Good,Good,0
3199,3199,20,Major Cities of Australia,1,Good,Good,0
3200,3200,20,Major Cities of Australia,1,Good,Good,0
3201,3201,20,Major Cities of Australia,1,Good,Good,0
3202,3202,20,Major Cities of Australia,1,Good,Good,0
3204,3204,20,Major Cities of Australia,1,Good,Good,0
3205,3205,20,Major Cities of Australia,1,Good,Good,0
3206,3206,20,Major Cities of Australia,1,Good,Good,0
3207,3207,20,Major Cities of Australia,1,Good,Good,0
3211,3211,21,Inner Regional Australia,1,Good,Good,0
3212,3212,20,Major Cities of Australia,0.9423214,Good,Good,0
3212,3212,21,Inner Regional Australia,0.0576786,Good,Good,0
3213,3213,20,Major Cities of Australia,0.5715628,Good,Good,0
3213,3213,21,Inner Regional Australia,0.4284372,Good,Good,0
3214,3214,20,Major Cities of Australia,1,Good,Good,0
3215,3215,20,Major Cities of Australia,1,Good,Good,0
3216,3216,20,Major Cities of Australia,0.9963367,Good,Good,0
3216,3216,21,Inner Regional Australia,0.0036633,Good,Good,1
3217,3217,20,Major Cities of Australia,0.9720146,Good,Good,0
3217,3217,21,Inner Regional Australia,0.0279854,Good,Good,0
3218,3218,20,Major Cities of Australia,0.9858422,Good,Good,0
3218,3218,21,Inner Regional Australia,0.0141578,Good,Good,0
3219,3219,20,Major Cities of Australia,1,Good,Good,0
3220,3220,20,Major Cities of Australia,1,Good,Good,0
3221,3221,20,Major Cities of Australia,0.3341635,Good,Good,0
3221,3221,21,Inner Regional Australia,0.6658365,Good,Good,0
3222,3222,21,Inner Regional Australia,1,Good,Good,0
3223,3223,21,Inner Regional Australia,1,Good,Good,0
3224,3224,20,Major Cities of Australia,0.9574871,Good,Good,0
3224,3224,21,Inner Regional Australia,0.0425129,Good,Good,0
3225,3225,,,0,Poor,Good,4
3225,3225,21,Inner Regional Australia,1,Good,Good,0
3226,3226,21,Inner Regional Australia,1,Good,Good,0
3227,3227,20,Major Cities of Australia,0.0110261,Good,Good,0
3227,3227,21,Inner Regional Australia,0.9889739,Good,Good,0
3228,3228,21,Inner Regional Australia,1,Good,Good,0
3230,3230,21,Inner Regional Australia,1,Good,Good,0
3231,3231,21,Inner Regional Australia,1,Good,Good,0
3232,3232,21,Inner Regional Australia,1,Good,Good,0
3233,3233,21,Inner Regional Australia,0.9855572,Good,Good,0
3233,3233,22,Outer Regional Australia,0.0144428,Good,Good,0
3234,3234,21,Inner Regional Australia,1,Good,Good,0
3235,3235,21,Inner Regional Australia,1,Good,Good,0
3236,3236,21,Inner Regional Australia,1,Good,Good,0
3237,3237,21,Inner Regional Australia,1.87E-05,Good,Good,1
3237,3237,22,Outer Regional Australia,0.9999813,Good,Good,0
3238,3238,22,Outer Regional Australia,1,Good,Good,0
3239,3239,21,Inner Regional Australia,0.4860571,Good,Good,0
3239,3239,22,Outer Regional Australia,0.5139429,Good,Good,0
3240,3240,21,Inner Regional Australia,1,Good,Good,0
3241,3241,21,Inner Regional Australia,1,Good,Good,0
3242,3242,21,Inner Regional Australia,1,Good,Good,0
3243,3243,21,Inner Regional Australia,1,Good,Good,0
3249,3249,21,Inner Regional Australia,1,Good,Good,0
3250,3250,21,Inner Regional Australia,1,Good,Good,0
3251,3251,21,Inner Regional Australia,0.9913416,Good,Good,0
3251,3251,22,Outer Regional Australia,0.0086584,Good,Good,1
3254,3254,21,Inner Regional Australia,1,Good,Good,0
3260,3260,21,Inner Regional Australia,1,Good,Good,0
3264,3264,21,Inner Regional Australia,1,Good,Good,0
3265,3265,21,Inner Regional Australia,1,Good,Good,0
3266,3266,21,Inner Regional Australia,0.895861,Good,Good,0
3266,3266,22,Outer Regional Australia,0.104139,Good,Good,0
3267,3267,22,Outer Regional Australia,1,Good,Good,0
3268,3268,21,Inner Regional Australia,0.1325579,Good,Good,0
3268,3268,22,Outer Regional Australia,0.8674421,Good,Good,0
3269,3269,22,Outer Regional Australia,1,Good,Good,0
3270,3270,22,Outer Regional Australia,1,Good,Good,0
3271,3271,22,Outer Regional Australia,1,Good,Good,0
3272,3272,21,Inner Regional Australia,0.9013145,Good,Good,0
3272,3272,22,Outer Regional Australia,0.0986855,Good,Good,0
3273,3273,22,Outer Regional Australia,1,Good,Good,0
3274,3274,22,Outer Regional Australia,1,Good,Good,0
3275,3275,21,Inner Regional Australia,1,Good,Good,0
3276,3276,21,Inner Regional Australia,1,Good,Good,0
3277,3277,21,Inner Regional Australia,1,Good,Good,0
3278,3278,21,Inner Regional Australia,1,Good,Good,0
3279,3279,21,Inner Regional Australia,1,Good,Good,0
3280,3280,21,Inner Regional Australia,1,Good,Good,0
3281,3281,21,Inner Regional Australia,1,Good,Good,0
3282,3282,21,Inner Regional Australia,1,Good,Good,0
3283,3283,21,Inner Regional Australia,1,Good,Good,0
3284,3284,21,Inner Regional Australia,0.9694441,Good,Good,0
3284,3284,22,Outer Regional Australia,0.0305559,Good,Good,0
3285,3285,21,Inner Regional Australia,0.1742824,Good,Good,0
3285,3285,22,Outer Regional Australia,0.8257176,Good,Good,0
3286,3286,22,Outer Regional Australia,1,Good,Good,0
3287,3287,22,Outer Regional Australia,1,Good,Good,0
3289,3289,22,Outer Regional Australia,1,Good,Good,0
3292,3292,22,Outer Regional Australia,1,Good,Good,0
3293,3293,22,Outer Regional Australia,1,Good,Good,0
3294,3294,22,Outer Regional Australia,1,Good,Good,0
3300,3300,21,Inner Regional Australia,0.9866274,Good,Good,0
3300,3300,22,Outer Regional Australia,0.0133726,Good,Good,0
3301,3301,22,Outer Regional Australia,1,Good,Good,0
3302,3302,22,Outer Regional Australia,1,Good,Good,0
3303,3303,22,Outer Regional Australia,1,Good,Good,0
3304,3304,22,Outer Regional Australia,1,Good,Good,0
3305,3305,22,Outer Regional Australia,1,Good,Good,0
3309,3309,22,Outer Regional Australia,1,Good,Good,0
3310,3310,22,Outer Regional Australia,1,Good,Good,0
3311,3311,22,Outer Regional Australia,1,Good,Good,0
3312,3312,22,Outer Regional Australia,1,Good,Good,0
3314,3314,22,Outer Regional Australia,1,Good,Good,0
3315,3315,22,Outer Regional Australia,1,Good,Good,0
3317,3317,22,Outer Regional Australia,1,Good,Good,0
3318,3318,22,Outer Regional Australia,1,Good,Good,0
3319,3319,22,Outer Regional Australia,1,Good,Good,0
3321,3321,21,Inner Regional Australia,1,Good,Good,0
3322,3322,21,Inner Regional Australia,0.9122979,Good,Good,0
3322,3322,22,Outer Regional Australia,0.0877021,Good,Good,0
3323,3323,21,Inner Regional Australia,0.0001156,Good,Good,1
3323,3323,22,Outer Regional Australia,0.9998844,Good,Good,0
3324,3324,21,Inner Regional Australia,0.0019114,Good,Good,1
3324,3324,22,Outer Regional Australia,0.9980886,Good,Good,0
3325,3325,21,Inner Regional Australia,0.0653485,Good,Good,0
3325,3325,22,Outer Regional Australia,0.9346515,Good,Good,0
3328,3328,21,Inner Regional Australia,1,Good,Good,0
3329,3329,21,Inner Regional Australia,1,Good,Good,0
3330,3330,21,Inner Regional Australia,1,Good,Good,0
3331,3331,21,Inner Regional Australia,1,Good,Good,0
3332,3332,21,Inner Regional Australia,1,Good,Good,0
3333,3333,21,Inner Regional Australia,1,Good,Good,0
3334,3334,21,Inner Regional Australia,1,Good,Good,0
3335,3335,20,Major Cities of Australia,1,Good,Good,0
3336,3336,20,Major Cities of Australia,1,Good,Good,0
3337,3337,20,Major Cities of Australia,0.9892005,Good,Good,0
3337,3337,21,Inner Regional Australia,0.0107995,Good,Good,0
3338,3338,20,Major Cities of Australia,0.9961163,Good,Good,0
3338,3338,21,Inner Regional Australia,0.0038837,Good,Good,1
3340,3340,20,Major Cities of Australia,0.8462828,Good,Good,0
3340,3340,21,Inner Regional Australia,0.1537172,Good,Good,0
3341,3341,21,Inner Regional Australia,1,Good,Good,0
3342,3342,21,Inner Regional Australia,1,Good,Good,0
3345,3345,21,Inner Regional Australia,1,Good,Good,0
3350,3350,21,Inner Regional Australia,1,Good,Good,0
3351,3351,21,Inner Regional Australia,0.9258441,Good,Good,0
3351,3351,22,Outer Regional Australia,0.0741559,Good,Good,0
3352,3352,21,Inner Regional Australia,0.9987278,Good,Good,0
3352,3352,22,Outer Regional Australia,0.0012722,Good,Good,1
3355,3355,21,Inner Regional Australia,1,Good,Good,0
3356,3356,21,Inner Regional Australia,1,Good,Good,0
3357,3357,21,Inner Regional Australia,1,Good,Good,0
3358,3358,21,Inner Regional Australia,1,Good,Good,0
3360,3360,21,Inner Regional Australia,0.9968847,Good,Good,0
3360,3360,22,Outer Regional Australia,0.0031153,Good,Good,1
3361,3361,21,Inner Regional Australia,0.8215823,Good,Good,0
3361,3361,22,Outer Regional Australia,0.1784177,Good,Good,0
3363,3363,21,Inner Regional Australia,1,Good,Good,0
3364,3364,21,Inner Regional Australia,1,Good,Good,0
3370,3370,21,Inner Regional Australia,1,Good,Good,0
3371,3371,21,Inner Regional Australia,1,Good,Good,0
3373,3373,21,Inner Regional Australia,0.9948955,Good,Good,0
3373,3373,22,Outer Regional Australia,0.0051045,Good,Good,1
3374,3374,21,Inner Regional Australia,0.9433807,Good,Good,0
3374,3374,22,Outer Regional Australia,0.0566193,Good,Good,0
3375,3375,21,Inner Regional Australia,1,Good,Good,0
3377,3377,21,Inner Regional Australia,0.9828888,Good,Good,0
3377,3377,22,Outer Regional Australia,0.0171112,Good,Good,0
3378,3378,21,Inner Regional Australia,1,Good,Good,0
3379,3379,21,Inner Regional Australia,1.34E-05,Good,Good,1
3379,3379,22,Outer Regional Australia,0.9999866,Good,Good,0
3380,3380,21,Inner Regional Australia,1,Good,Good,0
3381,3381,21,Inner Regional Australia,0.2346134,Good,Good,0
3381,3381,22,Outer Regional Australia,0.7653866,Good,Good,0
3384,3384,22,Outer Regional Australia,1,Good,Good,0
3385,3385,21,Inner Regional Australia,0.3919394,Good,Good,0
3385,3385,22,Outer Regional Australia,0.6080606,Good,Good,0
3387,3387,21,Inner Regional Australia,0.0588249,Good,Good,0
3387,3387,22,Outer Regional Australia,0.9411751,Good,Good,0
3388,3388,22,Outer Regional Australia,1,Good,Good,0
3390,3390,22,Outer Regional Australia,1,Good,Good,0
3391,3391,22,Outer Regional Australia,1,Good,Good,0
3392,3392,22,Outer Regional Australia,1,Good,Good,0
3393,3393,22,Outer Regional Australia,1,Good,Good,0
3395,3395,22,Outer Regional Australia,0.1362533,Good,Good,0
3395,3395,23,Remote Australia,0.8637467,Acceptable,Good,0
3396,3396,23,Remote Australia,1,Acceptable,Good,0
3400,3400,22,Outer Regional Australia,1,Good,Good,0
3401,3401,22,Outer Regional Australia,1,Good,Good,0
3407,3407,22,Outer Regional Australia,1,Good,Good,0
3409,3409,22,Outer Regional Australia,1,Good,Good,0
3412,3412,22,Outer Regional Australia,1,Good,Good,0
3413,3413,22,Outer Regional Australia,1,Good,Good,0
3414,3414,22,Outer Regional Australia,1,Good,Good,0
3415,3415,22,Outer Regional Australia,1,Good,Good,0
3418,3418,22,Outer Regional Australia,1,Good,Good,0
3419,3419,22,Outer Regional Australia,1,Good,Good,0
3420,3420,22,Outer Regional Australia,0.843986,Good,Good,0
3420,3420,23,Remote Australia,0.156014,Acceptable,Good,0
3423,3423,22,Outer Regional Australia,1,Good,Good,0
3424,3424,22,Outer Regional Australia,0.007283,Good,Good,1
3424,3424,23,Remote Australia,0.992717,Acceptable,Good,0
3427,3427,20,Major Cities of Australia,1,Good,Good,0
3428,3428,20,Major Cities of Australia,1,Good,Good,0
3429,3429,20,Major Cities of Australia,0.9823269,Good,Good,0
3429,3429,21,Inner Regional Australia,0.0176731,Good,Good,0
3430,3430,20,Major Cities of Australia,0.0174979,Good,Good,0
3430,3430,21,Inner Regional Australia,0.9825021,Good,Good,0
3431,3431,21,Inner Regional Australia,1,Good,Good,0
3432,3432,21,Inner Regional Australia,1,Good,Good,0
3433,3433,21,Inner Regional Australia,1,Good,Good,0
3434,3434,21,Inner Regional Australia,1,Good,Good,0
3435,3435,21,Inner Regional Australia,1,Good,Good,0
3437,3437,21,Inner Regional Australia,1,Good,Good,0
3438,3438,21,Inner Regional Australia,1,Good,Good,0
3440,3440,21,Inner Regional Australia,1,Good,Good,0
3441,3441,21,Inner Regional Australia,1,Good,Good,0
3442,3442,21,Inner Regional Australia,1,Good,Good,0
3444,3444,21,Inner Regional Australia,1,Good,Good,0
3446,3446,21,Inner Regional Australia,1,Good,Good,0
3447,3447,21,Inner Regional Australia,1,Good,Good,0
3448,3448,21,Inner Regional Australia,1,Good,Good,0
3450,3450,21,Inner Regional Australia,1,Good,Good,0
3451,3451,21,Inner Regional Australia,1,Good,Good,0
3453,3453,21,Inner Regional Australia,1,Good,Good,0
3458,3458,21,Inner Regional Australia,1,Good,Good,0
3460,3460,21,Inner Regional Australia,1,Good,Good,0
3461,3461,21,Inner Regional Australia,1,Good,Good,0
3462,3462,21,Inner Regional Australia,1,Good,Good,0
3463,3463,21,Inner Regional Australia,1,Good,Good,0
3464,3464,21,Inner Regional Australia,1,Good,Good,0
