SED_CODE_2022,SED_NAME_2022,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
30058,Mount Ommaney,30,Major Cities of Australia,1,Good,Good,0
30059,Mudgeeraba,30,Major Cities of Australia,0.9580928,Good,Good,0
30059,Mudgeeraba,31,Inner Regional Australia,0.0419072,Acceptable,Good,0
30060,Mulgrave,32,Outer Regional Australia,1,Acceptable,Good,0
30061,Mundingburra,32,Outer Regional Australia,1,Acceptable,Good,0
30062,Murrumba,30,Major Cities of Australia,1,Good,Good,0
30063,Nanango,31,Inner Regional Australia,0.6903394,Acceptable,Good,0
30063,Nanango,32,Outer Regional Australia,0.3096606,Acceptable,Good,0
30064,Nicklin,30,Major Cities of Australia,0.6737292,Good,Good,0
30064,Nicklin,31,Inner Regional Australia,0.3262708,Acceptable,Good,0
30065,Ninderry,30,Major Cities of Australia,0.9277676,Good,Good,0
30065,Ninderry,31,Inner Regional Australia,0.0722324,Acceptable,Good,0
30066,Noosa,30,Major Cities of Australia,0.8180479,Good,Good,0
30066,Noosa,31,Inner Regional Australia,0.1819521,Acceptable,Good,0
30067,Nudgee,30,Major Cities of Australia,1,Good,Good,0
30068,Oodgeroo,30,Major Cities of Australia,0.9516302,Good,Good,0
30068,Oodgeroo,33,Remote Australia,0.0483698,Poor,Good,0
30069,Pine Rivers,30,Major Cities of Australia,0.7919274,Good,Good,0
30069,Pine Rivers,31,Inner Regional Australia,0.2080726,Acceptable,Good,0
30070,Pumicestone,30,Major Cities of Australia,0.5701246,Good,Good,0
30070,Pumicestone,31,Inner Regional Australia,0.4298754,Acceptable,Good,0
30071,Redcliffe,30,Major Cities of Australia,0.9940453,Good,Good,0
30071,Redcliffe,33,Remote Australia,0.0059547,Poor,Good,1
30072,Redlands,30,Major Cities of Australia,0.8424971,Good,Good,0
30072,Redlands,31,Inner Regional Australia,0.0847666,Acceptable,Good,0
30072,Redlands,32,Outer Regional Australia,0.0727363,Acceptable,Good,0
30073,Rockhampton,31,Inner Regional Australia,1,Acceptable,Good,0
30074,Sandgate,30,Major Cities of Australia,1,Good,Good,0
30075,Scenic Rim,30,Major Cities of Australia,0.1770084,Good,Good,0
30075,Scenic Rim,31,Inner Regional Australia,0.8151702,Acceptable,Good,0
30075,Scenic Rim,32,Outer Regional Australia,0.0078214,Acceptable,Good,1
30076,South Brisbane,30,Major Cities of Australia,1,Good,Good,0
30077,Southern Downs,31,Inner Regional Australia,0.4990548,Acceptable,Good,0
30077,Southern Downs,32,Outer Regional Australia,0.4910507,Acceptable,Good,0
30077,Southern Downs,33,Remote Australia,0.0098945,Poor,Good,1
30078,Southport,30,Major Cities of Australia,1,Good,Good,0
30079,Springwood,30,Major Cities of Australia,1,Good,Good,0
30080,Stafford,30,Major Cities of Australia,1,Good,Good,0
30081,Stretton,30,Major Cities of Australia,1,Good,Good,0
30082,Surfers Paradise,30,Major Cities of Australia,1,Good,Good,0
30083,Theodore,30,Major Cities of Australia,1,Good,Good,0
30084,Thuringowa,32,Outer Regional Australia,1,Acceptable,Good,0
30085,Toohey,30,Major Cities of Australia,1,Good,Good,0
30086,Toowoomba North,31,Inner Regional Australia,1,Acceptable,Good,0
30087,Toowoomba South,31,Inner Regional Australia,1,Acceptable,Good,0
30088,Townsville,32,Outer Regional Australia,0.9576448,Acceptable,Good,0
30088,Townsville,33,Remote Australia,0.0416385,Poor,Good,0
30088,Townsville,34,Very Remote Australia,0.0007167,Poor,Good,1
30089,Traeger,32,Outer Regional Australia,0.228146,Acceptable,Good,0
30089,Traeger,33,Remote Australia,0.5131911,Poor,Good,0
30089,Traeger,34,Very Remote Australia,0.2586629,Poor,Good,0
30090,Warrego,31,Inner Regional Australia,0.317731,Acceptable,Good,0
30090,Warrego,32,Outer Regional Australia,0.2657993,Acceptable,Good,0
30090,Warrego,33,Remote Australia,0.2083591,Poor,Good,0
30090,Warrego,34,Very Remote Australia,0.2081105,Poor,Good,0
30091,Waterford,30,Major Cities of Australia,1,Good,Good,0
30092,Whitsunday,31,Inner Regional Australia,0.4324304,Acceptable,Good,0
30092,Whitsunday,32,Outer Regional Australia,0.5251756,Acceptable,Good,0
30092,Whitsunday,33,Remote Australia,0.0323498,Poor,Good,0
30092,Whitsunday,34,Very Remote Australia,0.0100442,Poor,Good,0
30093,Woodridge,30,Major Cities of Australia,1,Good,Good,0
39494,No usual address (Qld),39,No usual address (Qld),1,Good,Good,0
39797,Migratory - Offshore - Shipping (Qld),35,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
40001,Adelaide,40,Major Cities of Australia,1,Good,Good,0
40002,Badcoe,40,Major Cities of Australia,1,Good,Good,0
40003,Black,40,Major Cities of Australia,1,Good,Good,0
40004,Bragg,40,Major Cities of Australia,1,Good,Good,0
40005,Chaffey,41,Inner Regional Australia,0.0302492,Acceptable,Good,0
40005,Chaffey,42,Outer Regional Australia,0.9683342,Acceptable,Good,0
40005,Chaffey,43,Remote Australia,0.0014166,Poor,Good,1
40006,Cheltenham,40,Major Cities of Australia,1,Good,Good,0
40007,Colton,40,Major Cities of Australia,1,Good,Good,0
40008,Croydon,40,Major Cities of Australia,1,Good,Good,0
40009,Davenport,40,Major Cities of Australia,1,Good,Good,0
40010,Dunstan,40,Major Cities of Australia,1,Good,Good,0
40011,Elder,40,Major Cities of Australia,1,Good,Good,0
40012,Elizabeth,40,Major Cities of Australia,1,Good,Good,0
40013,Enfield,40,Major Cities of Australia,1,Good,Good,0
40014,Finniss,41,Inner Regional Australia,1,Acceptable,Good,0
40015,Flinders,42,Outer Regional Australia,0.0059418,Acceptable,Good,1
40015,Flinders,43,Remote Australia,0.7644614,Poor,Good,0
40015,Flinders,44,Very Remote Australia,0.2295969,Poor,Good,0
40016,Florey,40,Major Cities of Australia,1,Good,Good,0
40017,Frome,41,Inner Regional Australia,0.8059584,Acceptable,Good,0
40017,Frome,42,Outer Regional Australia,0.1940416,Acceptable,Good,0
40018,Gibson,40,Major Cities of Australia,1,Good,Good,0
40019,Giles,42,Outer Regional Australia,0.7506789,Acceptable,Good,0
40019,Giles,43,Remote Australia,0.1142263,Poor,Good,0
40019,Giles,44,Very Remote Australia,0.1350948,Poor,Good,0
40020,Hammond,41,Inner Regional Australia,1,Acceptable,Good,0
40021,Hartley,40,Major Cities of Australia,1,Good,Good,0
40022,Heysen,40,Major Cities of Australia,0.6431363,Good,Good,0
40022,Heysen,41,Inner Regional Australia,0.3568637,Acceptable,Good,0
40023,Hurtle Vale,40,Major Cities of Australia,1,Good,Good,0
40024,Kaurna,40,Major Cities of Australia,1,Good,Good,0
40025,Kavel,40,Major Cities of Australia,0.7057563,Good,Good,0
40025,Kavel,41,Inner Regional Australia,0.2942437,Acceptable,Good,0
40026,King,40,Major Cities of Australia,0.9737839,Good,Good,0
40026,King,41,Inner Regional Australia,0.0262161,Acceptable,Good,0
40027,Lee,40,Major Cities of Australia,1,Good,Good,0
40028,Light,40,Major Cities of Australia,1,Good,Good,0
40029,Mackillop,41,Inner Regional Australia,0.0535798,Acceptable,Good,0
40029,Mackillop,42,Outer Regional Australia,0.8792575,Acceptable,Good,0
40029,Mackillop,43,Remote Australia,0.0671627,Poor,Good,0
40030,Mawson,40,Major Cities of Australia,0.6486197,Good,Good,0
40030,Mawson,41,Inner Regional Australia,0.219266,Acceptable,Good,0
40030,Mawson,43,Remote Australia,0.1321143,Poor,Good,0
40031,Morialta,40,Major Cities of Australia,1,Good,Good,0
40032,Morphett,40,Major Cities of Australia,1,Good,Good,0
40033,Mount Gambier,42,Outer Regional Australia,1,Acceptable,Good,0
40034,Narungga,41,Inner Regional Australia,0.0329699,Acceptable,Good,0
40034,Narungga,42,Outer Regional Australia,0.8411257,Acceptable,Good,0
40034,Narungga,43,Remote Australia,0.1259045,Poor,Good,0
40035,Newland,40,Major Cities of Australia,1,Good,Good,0
40036,Playford,40,Major Cities of Australia,1,Good,Good,0
40037,Port Adelaide,40,Major Cities of Australia,1,Good,Good,0
40038,Ramsay,40,Major Cities of Australia,1,Good,Good,0
40039,Reynell,40,Major Cities of Australia,1,Good,Good,0
40040,Schubert,40,Major Cities of Australia,0.0472605,Good,Good,0
40040,Schubert,41,Inner Regional Australia,0.9527395,Acceptable,Good,0
40041,Stuart,42,Outer Regional Australia,0.9722944,Acceptable,Good,0
40041,Stuart,43,Remote Australia,0.0099121,Poor,Good,1
40041,Stuart,44,Very Remote Australia,0.0177935,Poor,Good,0
40042,Taylor,40,Major Cities of Australia,0.9821348,Good,Good,0
40042,Taylor,41,Inner Regional Australia,0.0178652,Acceptable,Good,0
40043,Torrens,40,Major Cities of Australia,1,Good,Good,0
40044,Unley,40,Major Cities of Australia,1,Good,Good,0
40045,Waite,40,Major Cities of Australia,1,Good,Good,0
40046,West Torrens,40,Major Cities of Australia,1,Good,Good,0
40047,Wright,40,Major Cities of Australia,1,Good,Good,0
49494,No usual address (SA),49,No usual address (SA),1,Good,Good,0
49797,Migratory - Offshore - Shipping (SA),45,Migratory - Offshore - Shipping (SA),1,Good,Good,0
50106,Albany (South West),52,Outer Regional Australia,0.995865,Acceptable,Good,0
50106,Albany (South West),53,Remote Australia,0.004135,Poor,Good,1
50202,Armadale (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50304,Balcatta (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50405,Baldivis (South Metropolitan),50,Major Cities of Australia,0.9933701,Good,Good,0
50405,Baldivis (South Metropolitan),51,Inner Regional Australia,0.0066299,Acceptable,Good,1
50502,Bassendean (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50605,Bateman (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50702,Belmont (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50805,Bicton (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
50906,Bunbury (South West),51,Inner Regional Australia,1,Acceptable,Good,0
51004,Burns Beach (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51104,Butler (North Metropolitan),50,Major Cities of Australia,0.9316453,Good,Good,0
51104,Butler (North Metropolitan),51,Inner Regional Australia,0.0683547,Acceptable,Good,0
51205,Cannington (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51304,Carine (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51401,Central Wheatbelt (Agricultural),51,Inner Regional Australia,0.4293053,Acceptable,Good,0
51401,Central Wheatbelt (Agricultural),52,Outer Regional Australia,0.3426169,Acceptable,Good,0
51401,Central Wheatbelt (Agricultural),53,Remote Australia,0.2214933,Poor,Good,0
51401,Central Wheatbelt (Agricultural),54,Very Remote Australia,0.0065844,Poor,Good,1
51504,Churchlands (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51605,Cockburn (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51706,Collie-Preston (South West),51,Inner Regional Australia,1,Acceptable,Good,0
51804,Cottesloe (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
51902,Darling Range (East Metropolitan),50,Major Cities of Australia,0.8884402,Good,Good,0
51902,Darling Range (East Metropolitan),51,Inner Regional Australia,0.1115598,Acceptable,Good,0
52006,Dawesville (South West),50,Major Cities of Australia,0.9999995,Good,Good,0
52006,Dawesville (South West),51,Inner Regional Australia,5.00E-07,Acceptable,Good,1
52102,Forrestfield (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
52205,Fremantle (South Metropolitan),50,Major Cities of Australia,0.9962181,Good,Good,0
52205,Fremantle (South Metropolitan),53,Remote Australia,0.0037819,Poor,Good,1
52301,Geraldton (Agricultural),52,Outer Regional Australia,0.9999769,Acceptable,Good,0
52301,Geraldton (Agricultural),54,Very Remote Australia,2.31E-05,Poor,Good,1
52404,Hillarys (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
52505,Jandakot (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
52604,Joondalup (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
52702,Kalamunda (East Metropolitan),50,Major Cities of Australia,0.9847844,Good,Good,0
52702,Kalamunda (East Metropolitan),51,Inner Regional Australia,0.0152156,Acceptable,Good,0
52803,Kalgoorlie (Mining and Pastoral),52,Outer Regional Australia,0.8546012,Acceptable,Good,0
52803,Kalgoorlie (Mining and Pastoral),54,Very Remote Australia,0.1453988,Poor,Good,0
52903,Kimberley (Mining and Pastoral),53,Remote Australia,0.4237885,Poor,Good,0
52903,Kimberley (Mining and Pastoral),54,Very Remote Australia,0.5762115,Poor,Good,0
53004,Kingsley (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53105,Kwinana (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53204,Landsdale (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53306,Mandurah (South West),50,Major Cities of Australia,1,Good,Good,0
53402,Maylands (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53502,Midland (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53602,Mirrabooka (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53701,Moore (Agricultural),51,Inner Regional Australia,0.3375441,Acceptable,Good,0
53701,Moore (Agricultural),52,Outer Regional Australia,0.4878205,Acceptable,Good,0
53701,Moore (Agricultural),53,Remote Australia,0.1746354,Poor,Good,0
53802,Morley (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
53902,Mount Lawley (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
54006,Murray-Wellington (South West),50,Major Cities of Australia,0.3332365,Good,Good,0
54006,Murray-Wellington (South West),51,Inner Regional Australia,0.6667635,Acceptable,Good,0
54104,Nedlands (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
54203,North West Central (Mining and Pastoral),53,Remote Australia,0.0637749,Poor,Good,0
54203,North West Central (Mining and Pastoral),54,Very Remote Australia,0.9362251,Poor,Good,0
54304,Perth (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
54403,Pilbara (Mining and Pastoral),53,Remote Australia,0.7766798,Poor,Good,0
54403,Pilbara (Mining and Pastoral),54,Very Remote Australia,0.2233202,Poor,Good,0
54505,Riverton (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
54605,Rockingham (South Metropolitan),50,Major Cities of Australia,0.9811211,Good,Good,0
54605,Rockingham (South Metropolitan),51,Inner Regional Australia,0.0188789,Acceptable,Good,0
54701,Roe (Agricultural),52,Outer Regional Australia,0.4484611,Acceptable,Good,0
54701,Roe (Agricultural),53,Remote Australia,0.4791837,Poor,Good,0
54701,Roe (Agricultural),54,Very Remote Australia,0.0723552,Poor,Good,0
54804,Scarborough (North Metropolitan),50,Major Cities of Australia,1,Good,Good,0
54905,South Perth (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55005,Southern River (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55102,Swan Hills (East Metropolitan),50,Major Cities of Australia,0.7279377,Good,Good,0
55102,Swan Hills (East Metropolitan),51,Inner Regional Australia,0.2720623,Acceptable,Good,0
55202,Thornlie (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55306,Vasse (South West),51,Inner Regional Australia,1,Acceptable,Good,0
55405,Victoria Park (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55504,Wanneroo (North Metropolitan),50,Major Cities of Australia,0.998521,Good,Good,0
55504,Wanneroo (North Metropolitan),51,Inner Regional Australia,0.001479,Acceptable,Good,1
55605,Warnbro (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55706,Warren-Blackwood (South West),51,Inner Regional Australia,0.3655904,Acceptable,Good,0
55706,Warren-Blackwood (South West),52,Outer Regional Australia,0.6164736,Acceptable,Good,0
55706,Warren-Blackwood (South West),53,Remote Australia,0.017936,Poor,Good,0
55802,West Swan (East Metropolitan),50,Major Cities of Australia,1,Good,Good,0
55905,Willagee (South Metropolitan),50,Major Cities of Australia,1,Good,Good,0
59494,No usual address (WA),59,No usual address (WA),1,Good,Good,0
59797,Migratory - Offshore - Shipping (WA),55,Migratory - Offshore - Shipping (WA),1,Good,Good,0
60105,Bass (Launceston),61,Inner Regional Australia,1,Acceptable,Good,0
60106,Bass (McIntyre),62,Outer Regional Australia,0.8809804,Poor,Good,0
60106,Bass (McIntyre),63,Remote Australia,7.70E-06,Poor,Good,1
60106,Bass (McIntyre),64,Very Remote Australia,0.1190119,Poor,Good,0
60113,Bass (Rosevears),61,Inner Regional Australia,0.7651121,Acceptable,Good,0
60113,Bass (Rosevears),62,Outer Regional Australia,0.2348879,Poor,Good,0
60115,Bass (Windermere),61,Inner Regional Australia,0.7251309,Acceptable,Good,0
60115,Bass (Windermere),62,Outer Regional Australia,0.2748691,Poor,Good,0
60207,Braddon (Mersey),62,Outer Regional Australia,1,Poor,Good,0
60208,Braddon (Montgomery),62,Outer Regional Australia,1,Poor,Good,0
60209,Braddon (Murchison),62,Outer Regional Australia,0.8274628,Poor,Good,0
60209,Braddon (Murchison),63,Remote Australia,0.1303289,Poor,Good,0
60209,Braddon (Murchison),64,Very Remote Australia,0.0422083,Poor,Good,0
60301,Clark (Derwent),61,Inner Regional Australia,1,Acceptable,Good,0
60302,Clark (Elwick),61,Inner Regional Australia,1,Acceptable,Good,0
60303,Clark (Hobart),61,Inner Regional Australia,1,Acceptable,Good,0
60304,Clark (Huon),61,Inner Regional Australia,1,Acceptable,Good,0
60310,Clark (Nelson),61,Inner Regional Australia,1,Acceptable,Good,0
60404,Franklin (Huon),61,Inner Regional Australia,0.4146992,Acceptable,Good,0
60404,Franklin (Huon),62,Outer Regional Australia,0.5852774,Poor,Good,0
60404,Franklin (Huon),63,Remote Australia,2.34E-05,Poor,Good,1
60410,Franklin (Nelson),61,Inner Regional Australia,1,Acceptable,Good,0
60411,Franklin (Pembroke),61,Inner Regional Australia,1,Acceptable,Good,0
60414,Franklin (Rumney),61,Inner Regional Australia,0.939765,Acceptable,Good,0
60414,Franklin (Rumney),62,Outer Regional Australia,0.060235,Poor,Good,0
60501,Lyons (Derwent),61,Inner Regional Australia,0.8036287,Acceptable,Good,0
60501,Lyons (Derwent),62,Outer Regional Australia,0.1785104,Poor,Good,0
60501,Lyons (Derwent),63,Remote Australia,0.0178609,Poor,Good,0
60505,Lyons (Launceston),61,Inner Regional Australia,1,Acceptable,Good,0
60506,Lyons (McIntyre),61,Inner Regional Australia,0.3079807,Acceptable,Good,0
60506,Lyons (McIntyre),62,Outer Regional Australia,0.6864801,Poor,Good,0
60506,Lyons (McIntyre),63,Remote Australia,0.0055392,Poor,Good,1
60508,Lyons (Montgomery),62,Outer Regional Australia,1,Poor,Good,0
60512,Lyons (Prosser),61,Inner Regional Australia,0.4636101,Acceptable,Good,0
60512,Lyons (Prosser),62,Outer Regional Australia,0.4539533,Poor,Good,0
60512,Lyons (Prosser),63,Remote Australia,0.0824366,Poor,Good,0
60514,Lyons (Rumney),61,Inner Regional Australia,0.8731312,Acceptable,Good,0
60514,Lyons (Rumney),62,Outer Regional Australia,0.1268688,Poor,Good,0
69494,No usual address (Tas.),69,No usual address (Tas.),1,Good,Good,0
69797,Migratory - Offshore - Shipping (Tas.),65,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
70001,Arafura,73,Remote Australia,0.4236815,Acceptable,Good,0
70001,Arafura,74,Very Remote Australia,0.5763185,Acceptable,Good,0
70002,Araluen,73,Remote Australia,1,Acceptable,Good,0
70003,Arnhem,73,Remote Australia,0.1122313,Acceptable,Good,0
70003,Arnhem,74,Very Remote Australia,0.8877687,Acceptable,Good,0
70004,Barkly,74,Very Remote Australia,1,Acceptable,Good,0
70005,Blain,72,Outer Regional Australia,1,Good,Good,0
70006,Braitling,73,Remote Australia,1,Acceptable,Good,0
70007,Brennan,72,Outer Regional Australia,1,Good,Good,0
70008,Casuarina,72,Outer Regional Australia,1,Good,Good,0
70009,Daly,72,Outer Regional Australia,0.2765887,Good,Good,0
70009,Daly,73,Remote Australia,0.5112118,Acceptable,Good,0
70009,Daly,74,Very Remote Australia,0.2121995,Acceptable,Good,0
70010,Drysdale,72,Outer Regional Australia,1,Good,Good,0
70011,Fannie Bay,72,Outer Regional Australia,1,Good,Good,0
70012,Fong Lim,72,Outer Regional Australia,1,Good,Good,0
70013,Goyder,72,Outer Regional Australia,0.932218,Good,Good,0
70013,Goyder,73,Remote Australia,0.067782,Acceptable,Good,0
70014,Gwoja,74,Very Remote Australia,1,Acceptable,Good,0
70015,Johnston,72,Outer Regional Australia,1,Good,Good,0
70016,Karama,72,Outer Regional Australia,1,Good,Good,0
70017,Katherine,73,Remote Australia,1,Acceptable,Good,0
70018,Mulka,74,Very Remote Australia,1,Acceptable,Good,0
70019,Namatjira,73,Remote Australia,0.9104817,Acceptable,Good,0
70019,Namatjira,74,Very Remote Australia,0.0895183,Acceptable,Good,0
70020,Nelson,72,Outer Regional Australia,1,Good,Good,0
70021,Nightcliff,72,Outer Regional Australia,1,Good,Good,0
70022,Port Darwin,72,Outer Regional Australia,1,Good,Good,0
70023,Sanderson,72,Outer Regional Australia,1,Good,Good,0
70024,Spillett,72,Outer Regional Australia,1,Good,Good,0
70025,Wanguri,72,Outer Regional Australia,1,Good,Good,0
79494,No usual address (NT),79,No usual address (NT),1,Good,Good,0
79797,Migratory - Offshore - Shipping (NT),75,Migratory - Offshore - Shipping (NT),1,Good,Good,0
80001,Brindabella,80,Major Cities of Australia,0.9967178,Good,Good,0
80001,Brindabella,81,Inner Regional Australia,0.0032822,Poor,Good,1
80002,Ginninderra,80,Major Cities of Australia,1,Good,Good,0
80003,Kurrajong,80,Major Cities of Australia,0.9997178,Good,Good,0
80003,Kurrajong,81,Inner Regional Australia,0.0002822,Poor,Good,1
80004,Murrumbidgee,80,Major Cities of Australia,0.9955173,Good,Good,0
80004,Murrumbidgee,81,Inner Regional Australia,0.0044827,Poor,Good,1
80005,Yerrabi,80,Major Cities of Australia,1,Good,Good,0
89494,No usual address (ACT),89,No usual address (ACT),1,Good,Good,0
89797,Migratory - Offshore - Shipping (ACT),85,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
99191,Unclassified (OT),91,Inner Regional Australia,0.0643689,Poor,Good,0
99191,Unclassified (OT),94,Very Remote Australia,0.9356311,Good,Good,0
99494,No usual address (OT),99,No usual address (OT),1,Good,Good,0
99797,Migratory - Offshore - Shipping (OT),95,Migratory - Offshore - Shipping (OT),1,Good,Good,0
ZZZZZ,Outside Australia,ZZ,Outside Australia,1,Good,Good,0
