POSTCODE,LGA_CODE_2022,LGA_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2807,13910,Hilltops,0.7342399,Good,Good,0
2808,13910,Hilltops,0.2084953,Good,Good,0
2808,12350,Cowra,0.7915047,Good,Good,0
2809,18100,Weddin,1,Good,Good,0
2810,12900,Forbes,0.0005417,Good,Good,1
2810,18100,Weddin,0.9994583,Good,Good,0
2817,12950,Gilgandra,1,Acceptable,Good,0
2818,12390,Dubbo,1,Good,Good,0
2820,12390,Dubbo,1,Good,Good,0
2821,15850,Narromine,1,Good,Good,0
2822,12950,Gilgandra,0.2601074,Acceptable,Good,0
2822,12390,Dubbo,0.7398926,Good,Good,0
2823,17950,Warren,0.072412,Acceptable,Good,0
2823,15850,Narromine,0.927588,Good,Good,0
2824,17950,Warren,1,Acceptable,Good,0
2825,17950,Warren,0.01737,Acceptable,Good,0
2825,10950,Bogan,0.98263,Acceptable,Good,0
2826,17950,Warren,1,Acceptable,Good,0
2827,17950,Warren,0.0279015,Acceptable,Good,0
2827,12950,Gilgandra,0.9720985,Acceptable,Good,0
2828,12950,Gilgandra,0.2098758,Acceptable,Good,0
2828,12150,Coonamble,0.7901242,Good,Good,0
2829,12150,Coonamble,1,Good,Good,0
2830,18020,Warrumbungle,0.0000852,Good,Good,1
2830,12950,Gilgandra,0.0010948,Acceptable,Good,1
2830,12390,Dubbo,0.99882,Good,Good,0
2831,11200,Brewarrina,0.0111462,Good,Good,0
2831,11150,Bourke,0.014321,Good,Good,0
2831,17950,Warren,0.039237,Acceptable,Good,0
2831,11750,Cobar,0.0530439,Good,Good,0
2831,12150,Coonamble,0.07362,Good,Good,0
2831,17900,Walgett,0.0747957,Good,Good,0
2831,18020,Warrumbungle,0.0949321,Good,Good,0
2831,10950,Bogan,0.1320427,Acceptable,Good,0
2831,12390,Dubbo,0.5068613,Good,Good,0
2832,17900,Walgett,1,Good,Good,0
2833,15300,Moree Plains,0.0656384,Good,Good,0
2833,17900,Walgett,0.9343616,Good,Good,0
2834,11200,Brewarrina,0.0121836,Good,Good,0
2834,17900,Walgett,0.9878164,Good,Good,0
2835,10950,Bogan,0.0026383,Acceptable,Good,1
2835,11750,Cobar,0.9973617,Good,Good,0
2836,19399,Unincorporated NSW,0.0355465,Poor,Good,0
2836,11700,Central Darling,0.9644535,Good,Good,0
2838,11200,Brewarrina,1,Good,Good,0
2839,11200,Brewarrina,1,Good,Good,0
2840,11200,Brewarrina,0.0016778,Good,Good,1
2840,19399,Unincorporated NSW,0.0062969,Poor,Good,1
2840,11750,Cobar,0.0075604,Good,Good,1
2840,11700,Central Darling,0.0138322,Good,Good,0
2840,11150,Bourke,0.9706327,Good,Good,0
2842,12950,Gilgandra,0.1557277,Acceptable,Good,0
2842,18020,Warrumbungle,0.8442723,Good,Good,0
2843,18020,Warrumbungle,1,Good,Good,0
2844,15270,Mid-Western,0.0378792,Good,Good,0
2844,18020,Warrumbungle,0.9621208,Good,Good,0
2845,14870,Lithgow,1,Good,Good,0
2846,15270,Mid-Western,0.0221467,Good,Good,0
2846,14870,Lithgow,0.9778533,Good,Good,0
2847,14870,Lithgow,1,Good,Good,0
2848,14870,Lithgow,0.0000131,Good,Good,1
2848,15270,Mid-Western,0.9999869,Good,Good,0
2849,17000,Singleton,0.0000052,Good,Good,1
2849,14870,Lithgow,0.1357981,Good,Good,0
2849,15270,Mid-Western,0.8641967,Good,Good,0
2850,14870,Lithgow,0.0000005,Good,Good,1
2850,12390,Dubbo,0.0009993,Good,Good,1
2850,17620,Upper Hunter,0.0017866,Good,Good,1
2850,10470,Bathurst,0.0066123,Good,Good,1
2850,15270,Mid-Western,0.9906012,Good,Good,0
2852,18020,Warrumbungle,0.0003633,Good,Good,1
2852,12390,Dubbo,0.0037155,Good,Good,1
2852,15270,Mid-Western,0.9959212,Good,Good,0
2864,11400,Cabonne,1,Poor,Good,0
2865,11400,Cabonne,1,Poor,Good,0
2866,12390,Dubbo,0.0695953,Good,Good,0
2866,11400,Cabonne,0.9304047,Poor,Good,0
2867,12390,Dubbo,0.0363984,Good,Good,0
2867,11400,Cabonne,0.9636016,Poor,Good,0
2868,12390,Dubbo,0.2708461,Good,Good,0
2868,11400,Cabonne,0.7291539,Poor,Good,0
2869,15850,Narromine,0.2272991,Good,Good,0
2869,16200,Parkes,0.7727009,Good,Good,0
2870,11400,Cabonne,0.003985,Poor,Good,1
2870,12900,Forbes,0.0091694,Good,Good,1
2870,16200,Parkes,0.9868456,Good,Good,0
2871,18100,Weddin,0.0015496,Good,Good,1
2871,14600,Lachlan,0.0069739,Acceptable,Good,1
2871,12900,Forbes,0.9914765,Good,Good,0
2873,10950,Bogan,0.0474194,Acceptable,Good,0
2873,14600,Lachlan,0.9525806,Acceptable,Good,0
2874,14600,Lachlan,0.1594618,Acceptable,Good,0
2874,16200,Parkes,0.8405382,Good,Good,0
2875,12900,Forbes,0.065777,Good,Good,0
2875,14600,Lachlan,0.1668878,Acceptable,Good,0
2875,16200,Parkes,0.7673352,Good,Good,0
2876,12900,Forbes,0.1174506,Good,Good,0
2876,16200,Parkes,0.8825494,Good,Good,0
2877,12900,Forbes,0.0052819,Good,Good,1
2877,10950,Bogan,0.0066871,Acceptable,Good,1
2877,11750,Cobar,0.0497588,Good,Good,0
2877,14600,Lachlan,0.9382722,Acceptable,Good,0
2878,11600,Carrathool,0.0381722,Poor,Good,0
2878,10300,Balranald,0.0903165,Good,Good,0
2878,11700,Central Darling,0.8715113,Good,Good,0
2879,19399,Unincorporated NSW,0.0002682,Poor,Good,1
2879,11700,Central Darling,0.9997318,Good,Good,0
2880,19399,Unincorporated NSW,0.0270297,Poor,Good,0
2880,11250,Broken Hill,0.9729703,Good,Good,0
2898,19399,Unincorporated NSW,1,Poor,Good,0
2899,99399,Unincorp. Other Territories,1,Acceptable,Good,0
2900,89399,Unincorporated ACT,1,Good,Good,0
2902,89399,Unincorporated ACT,1,Good,Good,0
2903,89399,Unincorporated ACT,1,Good,Good,0
2904,89399,Unincorporated ACT,1,Good,Good,0
2905,89399,Unincorporated ACT,1,Good,Good,0
2906,89399,Unincorporated ACT,1,Good,Good,0
2911,89399,Unincorporated ACT,1,Good,Good,0
2912,89399,Unincorporated ACT,1,Good,Good,0
2913,89399,Unincorporated ACT,1,Good,Good,0
2914,89399,Unincorporated ACT,1,Good,Good,0
3000,24600,Melbourne,1,Good,Good,0
3002,24600,Melbourne,1,Good,Good,0
3003,24600,Melbourne,1,Good,Good,0
3004,24600,Melbourne,0.2164613,Good,Good,0
3004,25900,Port Phillip,0.7835387,Good,Good,0
3006,25900,Port Phillip,0.0062591,Good,Good,1
3006,24600,Melbourne,0.9937409,Good,Good,0
3008,24600,Melbourne,1,Good,Good,0
3011,24330,Maribyrnong,1,Acceptable,Good,0
3012,21180,Brimbank,0.0003346,Acceptable,Good,1
3012,23110,Hobsons Bay,0.0735873,Good,Good,0
3012,24330,Maribyrnong,0.9260781,Acceptable,Good,0
3013,24330,Maribyrnong,1,Acceptable,Good,0
3015,23110,Hobsons Bay,1,Good,Good,0
3016,23110,Hobsons Bay,1,Good,Good,0
3018,23110,Hobsons Bay,1,Good,Good,0
3019,24330,Maribyrnong,1,Acceptable,Good,0
3020,21180,Brimbank,1,Acceptable,Good,0
3021,21180,Brimbank,1,Acceptable,Good,0
3022,21180,Brimbank,1,Acceptable,Good,0
3023,21180,Brimbank,0.4199624,Acceptable,Good,0
3023,24650,Melton,0.5800376,Acceptable,Good,0
3024,24650,Melton,0.0065393,Acceptable,Good,1
3024,27260,Wyndham,0.9934607,Good,Good,0
3025,23110,Hobsons Bay,1,Good,Good,0
3026,27260,Wyndham,0.0142629,Good,Good,0
3026,21180,Brimbank,0.9857371,Acceptable,Good,0
3027,27260,Wyndham,1,Good,Good,0
3028,27260,Wyndham,0.0006751,Good,Good,1
3028,23110,Hobsons Bay,0.9993249,Good,Good,0
3029,24650,Melton,0.0089331,Acceptable,Good,1
3029,27260,Wyndham,0.9910669,Good,Good,0
3030,27260,Wyndham,1,Good,Good,0
3031,25060,Moonee Valley,0.3907381,Acceptable,Good,0
3031,24600,Melbourne,0.6092619,Good,Good,0
3032,24330,Maribyrnong,0.4213622,Acceptable,Good,0
3032,25060,Moonee Valley,0.5786378,Acceptable,Good,0
3033,21180,Brimbank,0.0011013,Acceptable,Good,1
3033,25060,Moonee Valley,0.9988987,Acceptable,Good,0
3034,25060,Moonee Valley,1,Acceptable,Good,0
3036,23270,Hume,0.0104096,Good,Good,0
3036,21180,Brimbank,0.9895904,Acceptable,Good,0
3037,21180,Brimbank,0.3846385,Acceptable,Good,0
3037,24650,Melton,0.6153615,Acceptable,Good,0
3038,21180,Brimbank,1,Acceptable,Good,0
3039,25060,Moonee Valley,1,Acceptable,Good,0
3040,25060,Moonee Valley,1,Acceptable,Good,0
3041,25060,Moonee Valley,1,Acceptable,Good,0
3042,21180,Brimbank,0.1611521,Acceptable,Good,0
3042,25060,Moonee Valley,0.8388479,Acceptable,Good,0
3043,21180,Brimbank,0.0002325,Acceptable,Good,1
3043,25250,Moreland,0.1739044,Good,Good,0
3043,23270,Hume,0.8258631,Good,Good,0
3044,25250,Moreland,1,Good,Good,0
3045,23270,Hume,1,Good,Good,0
3046,25250,Moreland,1,Good,Good,0
3047,23270,Hume,1,Good,Good,0
3048,23270,Hume,1,Good,Good,0
3049,23270,Hume,1,Good,Good,0
3051,24600,Melbourne,1,Good,Good,0
3052,25250,Moreland,0.0000028,Good,Good,1
3052,24600,Melbourne,0.9999972,Good,Good,0
3053,24600,Melbourne,1,Good,Good,0
3054,25250,Moreland,0.0000012,Good,Good,1
3054,24600,Melbourne,0.000003,Good,Good,1
3054,27350,Yarra,0.9999957,Good,Good,0
3055,25250,Moreland,1,Good,Good,0
3056,25250,Moreland,1,Good,Good,0
3057,25250,Moreland,1,Good,Good,0
3058,21890,Darebin,0.0103379,Good,Good,0
3058,25250,Moreland,0.9896621,Good,Good,0
3059,23270,Hume,1,Good,Good,0
3060,23270,Hume,0.0189634,Good,Good,0
3060,25250,Moreland,0.9810366,Good,Good,0
3061,23270,Hume,1,Good,Good,0
3062,23270,Hume,1,Good,Good,0
3063,23270,Hume,1,Good,Good,0
3064,27070,Whittlesea,0.018278,Good,Good,0
3064,23270,Hume,0.981722,Good,Good,0
3065,27350,Yarra,1,Good,Good,0
3066,27350,Yarra,1,Good,Good,0
3067,27350,Yarra,1,Good,Good,0
3068,25250,Moreland,0.0500549,Good,Good,0
3068,27350,Yarra,0.9499451,Good,Good,0
3070,25250,Moreland,0.0000002,Good,Good,1
3070,21890,Darebin,0.9999998,Good,Good,0
3071,21890,Darebin,1,Good,Good,0
3072,21890,Darebin,1,Good,Good,0
3073,21890,Darebin,1,Good,Good,0
3074,27070,Whittlesea,1,Good,Good,0
3075,27070,Whittlesea,1,Good,Good,0
3076,27070,Whittlesea,1,Good,Good,0
3078,27350,Yarra,0.2676202,Good,Good,0
3078,21890,Darebin,0.7323798,Good,Good,0
3079,20660,Banyule,1,Acceptable,Good,0
3081,20660,Banyule,1,Acceptable,Good,0
3082,27070,Whittlesea,1,Good,Good,0
3083,21890,Darebin,0.2549221,Good,Good,0
3083,20660,Banyule,0.3160323,Acceptable,Good,0
3083,27070,Whittlesea,0.4290456,Good,Good,0
3084,20660,Banyule,1,Acceptable,Good,0
3085,21890,Darebin,0.1699339,Good,Good,0
3085,20660,Banyule,0.8300661,Acceptable,Good,0
3087,20660,Banyule,1,Acceptable,Good,0
3088,25710,Nillumbik,0.1940961,Acceptable,Good,0
3088,20660,Banyule,0.8059039,Acceptable,Good,0
3089,25710,Nillumbik,1,Acceptable,Good,0
3090,25710,Nillumbik,1,Acceptable,Good,0
3091,25710,Nillumbik,1,Acceptable,Good,0
3093,20660,Banyule,1,Acceptable,Good,0
3094,20660,Banyule,1,Acceptable,Good,0
3095,20660,Banyule,0.0852715,Acceptable,Good,0
3095,25710,Nillumbik,0.9147285,Acceptable,Good,0
3096,25710,Nillumbik,1,Acceptable,Good,0
3097,25710,Nillumbik,1,Acceptable,Good,0
3099,25710,Nillumbik,1,Acceptable,Good,0
3101,21110,Boroondara,1,Good,Good,0
3102,21110,Boroondara,1,Good,Good,0
3103,21110,Boroondara,1,Good,Good,0
3104,26980,Whitehorse,0.0095054,Good,Good,1
3104,21110,Boroondara,0.9904946,Good,Good,0
3105,24210,Manningham,1,Good,Good,0
3106,24210,Manningham,1,Good,Good,0
3107,24210,Manningham,1,Good,Good,0
3108,24210,Manningham,1,Good,Good,0
3109,24210,Manningham,1,Good,Good,0
3111,24210,Manningham,1,Good,Good,0
3113,25710,Nillumbik,0.3550218,Acceptable,Good,0
3113,24210,Manningham,0.6449782,Good,Good,0
3114,24410,Maroondah,0.0159148,Good,Good,0
3114,24210,Manningham,0.9840852,Good,Good,0
3115,24410,Maroondah,0.0803171,Good,Good,0
3115,27450,Yarra Ranges,0.099857,Good,Good,0
3115,24210,Manningham,0.8198259,Good,Good,0
3116,27450,Yarra Ranges,1,Good,Good,0
3121,27350,Yarra,1,Good,Good,0
3122,21110,Boroondara,1,Good,Good,0
3123,21110,Boroondara,1,Good,Good,0
3124,21110,Boroondara,1,Good,Good,0
3125,24970,Monash,0.1793175,Good,Good,0
3125,26980,Whitehorse,0.8206825,Good,Good,0
3126,21110,Boroondara,1,Good,Good,0
3127,21110,Boroondara,0.4525898,Good,Good,0
3127,26980,Whitehorse,0.5474102,Good,Good,0
3128,26980,Whitehorse,1,Good,Good,0
3129,26980,Whitehorse,1,Good,Good,0
3130,26980,Whitehorse,1,Good,Good,0
3131,24210,Manningham,0.0139015,Good,Good,0
3131,26980,Whitehorse,0.9860985,Good,Good,0
3132,26980,Whitehorse,1,Good,Good,0
3133,24410,Maroondah,0.0203011,Good,Good,0
3133,26980,Whitehorse,0.9796989,Good,Good,0
3134,24210,Manningham,0.0294455,Good,Good,0
3134,24410,Maroondah,0.9705545,Good,Good,0
3135,24410,Maroondah,1,Good,Good,0
3136,24410,Maroondah,1,Good,Good,0
3137,24410,Maroondah,0.3178038,Good,Good,0
3137,27450,Yarra Ranges,0.6821962,Good,Good,0
3138,27450,Yarra Ranges,1,Good,Good,0
3139,21450,Cardinia,0.0005984,Good,Good,1
3139,27450,Yarra Ranges,0.9994016,Good,Good,0
3140,27450,Yarra Ranges,1,Good,Good,0
3141,24600,Melbourne,0.1561958,Good,Good,0
3141,26350,Stonnington,0.8438042,Acceptable,Good,0
3142,26350,Stonnington,1,Acceptable,Good,0
3143,26350,Stonnington,1,Acceptable,Good,0
3144,26350,Stonnington,1,Acceptable,Good,0
3145,22310,Glen Eira,0.0549607,Good,Good,0
3145,26350,Stonnington,0.9450393,Acceptable,Good,0
3146,26350,Stonnington,0.3700857,Acceptable,Good,0
3146,21110,Boroondara,0.6299143,Good,Good,0
3147,26350,Stonnington,0.0000007,Acceptable,Good,1
3147,24970,Monash,0.4734956,Good,Good,0
3147,21110,Boroondara,0.5265038,Good,Good,0
3148,24970,Monash,1,Good,Good,0
3149,24970,Monash,1,Good,Good,0
3150,24970,Monash,1,Good,Good,0
3151,26980,Whitehorse,1,Good,Good,0
3152,23670,Knox,1,Good,Good,0
3153,24410,Maroondah,0.424588,Good,Good,0
3153,23670,Knox,0.575412,Good,Good,0
3154,23670,Knox,1,Good,Good,0
3155,23670,Knox,1,Good,Good,0
3156,21610,Casey,0.0256738,Good,Good,0
3156,27450,Yarra Ranges,0.0265324,Good,Good,0
3156,23670,Knox,0.9477937,Good,Good,0
3158,27450,Yarra Ranges,1,Good,Good,0
3159,21450,Cardinia,0.0678912,Good,Good,0
3159,27450,Yarra Ranges,0.9321088,Good,Good,0
3160,27450,Yarra Ranges,1,Good,Good,0
3161,22310,Glen Eira,1,Good,Good,0
3162,22310,Glen Eira,1,Good,Good,0
3163,22310,Glen Eira,1,Good,Good,0
3165,22310,Glen Eira,1,Good,Good,0
3166,24970,Monash,1,Good,Good,0
3167,23430,Kingston (Vic.),0.4184095,Good,Good,0
3167,24970,Monash,0.5815905,Good,Good,0
3168,24970,Monash,1,Good,Good,0
3169,23430,Kingston (Vic.),1,Good,Good,0
3170,24970,Monash,1,Good,Good,0
3171,22670,Greater Dandenong,1,Good,Good,0
3172,23430,Kingston (Vic.),0.4518277,Good,Good,0
3172,22670,Greater Dandenong,0.5481723,Good,Good,0
3173,22670,Greater Dandenong,1,Good,Good,0
3174,22670,Greater Dandenong,1,Good,Good,0
3175,21610,Casey,0.0000001,Good,Good,1
3175,22670,Greater Dandenong,0.9999999,Good,Good,0
3177,21610,Casey,1,Good,Good,0
3178,23670,Knox,1,Good,Good,0
3179,23670,Knox,1,Good,Good,0
3180,23670,Knox,1,Good,Good,0
3181,25900,Port Phillip,0.0303115,Good,Good,0
3181,26350,Stonnington,0.9696885,Acceptable,Good,0
3182,25900,Port Phillip,1,Good,Good,0
3183,22310,Glen Eira,0.2311649,Good,Good,0
3183,25900,Port Phillip,0.7688351,Good,Good,0
3184,25900,Port Phillip,1,Good,Good,0
3185,25900,Port Phillip,0.1151701,Good,Good,0
3185,22310,Glen Eira,0.8848299,Good,Good,0
3186,20910,Bayside (Vic.),1,Good,Good,0
3187,22310,Glen Eira,0.0418496,Good,Good,0
3187,20910,Bayside (Vic.),0.9581504,Good,Good,0
3188,20910,Bayside (Vic.),1,Good,Good,0
3189,23430,Kingston (Vic.),1,Good,Good,0
3190,23430,Kingston (Vic.),0.3363999,Good,Good,0
3190,20910,Bayside (Vic.),0.6636001,Good,Good,0
3191,20910,Bayside (Vic.),1,Good,Good,0
3192,20910,Bayside (Vic.),0.1719686,Good,Good,0
3192,23430,Kingston (Vic.),0.8280314,Good,Good,0
3193,20910,Bayside (Vic.),1,Good,Good,0
3194,23430,Kingston (Vic.),1,Good,Good,0
3195,23430,Kingston (Vic.),1,Good,Good,0
3196,23430,Kingston (Vic.),1,Good,Good,0
3197,23430,Kingston (Vic.),1,Good,Good,0
3198,22170,Frankston,1,Good,Good,0
3199,22170,Frankston,1,Good,Good,0
3200,22170,Frankston,1,Good,Good,0
3201,22170,Frankston,1,Good,Good,0
3202,23430,Kingston (Vic.),1,Good,Good,0
3204,22310,Glen Eira,1,Good,Good,0
3205,25900,Port Phillip,1,Good,Good,0
3206,25900,Port Phillip,1,Good,Good,0
3207,24600,Melbourne,0.0005829,Good,Good,1
3207,25900,Port Phillip,0.9994171,Good,Good,0
3211,22750,Greater Geelong,0.4551383,Good,Good,0
3211,27260,Wyndham,0.5448617,Good,Good,0
3212,22750,Greater Geelong,1,Good,Good,0
3213,22490,Golden Plains,0.194651,Acceptable,Good,0
3213,22750,Greater Geelong,0.805349,Good,Good,0
3214,22750,Greater Geelong,1,Good,Good,0
3215,22750,Greater Geelong,1,Good,Good,0
3216,22750,Greater Geelong,1,Good,Good,0
3217,26490,Surf Coast,0.0429542,Good,Good,0
3217,22750,Greater Geelong,0.9570458,Good,Good,0
3218,22490,Golden Plains,0.0141578,Acceptable,Good,0
3218,22750,Greater Geelong,0.9858422,Good,Good,0
3219,22750,Greater Geelong,1,Good,Good,0
3220,22750,Greater Geelong,1,Good,Good,0
3221,22750,Greater Geelong,0.3341635,Good,Good,0
3221,26490,Surf Coast,0.6658365,Good,Good,0
3222,22750,Greater Geelong,1,Good,Good,0
3223,22750,Greater Geelong,1,Good,Good,0
3224,22750,Greater Geelong,1,Good,Good,0
3225,22750,Greater Geelong,0.3938669,Good,Good,0
3225,26080,Queenscliffe,0.6061331,Poor,Good,0
3226,22750,Greater Geelong,1,Good,Good,0
3227,26490,Surf Coast,0.0414399,Good,Good,0
3227,22750,Greater Geelong,0.9585601,Good,Good,0
3228,26490,Surf Coast,1,Good,Good,0
3230,26490,Surf Coast,1,Good,Good,0
3231,26490,Surf Coast,1,Good,Good,0
3232,26490,Surf Coast,1,Good,Good,0
3233,21750,Colac Otway,1,Good,Good,0
3234,21750,Colac Otway,1,Good,Good,0
3235,21750,Colac Otway,0.0189706,Good,Good,0
3235,26490,Surf Coast,0.9810294,Good,Good,0
3236,21750,Colac Otway,1,Good,Good,0
3237,21830,Corangamite,0.1125816,Good,Good,0
3237,21750,Colac Otway,0.8874184,Good,Good,0
3238,21750,Colac Otway,1,Good,Good,0
3239,21830,Corangamite,0.0926344,Good,Good,0
3239,21750,Colac Otway,0.9073656,Good,Good,0
3240,26490,Surf Coast,1,Good,Good,0
3241,21750,Colac Otway,0.0270171,Good,Good,0
3241,26490,Surf Coast,0.9729829,Good,Good,0
3242,26490,Surf Coast,0.0307446,Good,Good,0
3242,21750,Colac Otway,0.9692554,Good,Good,0
3243,21750,Colac Otway,1,Good,Good,0
3249,21830,Corangamite,0.0199893,Good,Good,0
3249,21750,Colac Otway,0.9800107,Good,Good,0
3250,21750,Colac Otway,1,Good,Good,0
3251,21830,Corangamite,0.0086584,Good,Good,1
3251,21750,Colac Otway,0.9913416,Good,Good,0
3254,21750,Colac Otway,1,Good,Good,0
3260,21750,Colac Otway,0.023061,Good,Good,0
3260,21830,Corangamite,0.976939,Good,Good,0
3264,25490,Moyne,0.0048925,Acceptable,Good,1
3264,21830,Corangamite,0.9951075,Good,Good,0
3265,21830,Corangamite,0.4262814,Good,Good,0
3265,25490,Moyne,0.5737186,Acceptable,Good,0
3266,21750,Colac Otway,0.0068487,Good,Good,1
3266,21830,Corangamite,0.9931513,Good,Good,0
3267,21830,Corangamite,1,Good,Good,0
3268,25490,Moyne,0.2031206,Acceptable,Good,0
3268,21830,Corangamite,0.7968794,Good,Good,0
3269,21830,Corangamite,1,Good,Good,0
3270,21830,Corangamite,0.2210029,Good,Good,0
3270,25490,Moyne,0.7789971,Acceptable,Good,0
3271,20260,Ararat,0.140675,Acceptable,Good,0
3271,21830,Corangamite,0.2721463,Good,Good,0
3271,25490,Moyne,0.5871787,Acceptable,Good,0
3272,20260,Ararat,0.0097527,Acceptable,Good,1
3272,25490,Moyne,0.9902473,Acceptable,Good,0
3273,25490,Moyne,1,Acceptable,Good,0
3274,26260,Southern Grampians,0.0156437,Good,Good,0
3274,25490,Moyne,0.9843563,Acceptable,Good,0
3275,25490,Moyne,1,Acceptable,Good,0
3276,25490,Moyne,1,Acceptable,Good,0
3277,25490,Moyne,0.3613156,Acceptable,Good,0
3277,26730,Warrnambool,0.6386844,Good,Good,0
3278,25490,Moyne,1,Acceptable,Good,0
3279,25490,Moyne,1,Acceptable,Good,0
3280,25490,Moyne,0.0022832,Acceptable,Good,1
3280,26730,Warrnambool,0.9977168,Good,Good,0
3281,25490,Moyne,0.4956893,Acceptable,Good,0
3281,26730,Warrnambool,0.5043107,Good,Good,0
3282,26730,Warrnambool,0.0104865,Good,Good,0
3282,25490,Moyne,0.9895135,Acceptable,Good,0
3283,26730,Warrnambool,0.0381877,Good,Good,0
3283,25490,Moyne,0.9618123,Acceptable,Good,0
3284,25490,Moyne,1,Acceptable,Good,0
3285,25490,Moyne,0.4722798,Acceptable,Good,0
3285,22410,Glenelg,0.5277202,Good,Good,0
3286,25490,Moyne,1,Acceptable,Good,0
3287,25490,Moyne,1,Acceptable,Good,0
3289,25490,Moyne,0.0851972,Acceptable,Good,0
3289,26260,Southern Grampians,0.9148028,Good,Good,0
3292,22410,Glenelg,1,Good,Good,0
3293,25490,Moyne,0.0657239,Acceptable,Good,0
3293,20260,Ararat,0.1338238,Acceptable,Good,0
3293,26260,Southern Grampians,0.8004523,Good,Good,0
3294,20260,Ararat,0.0043252,Acceptable,Good,1
3294,26260,Southern Grampians,0.9956748,Good,Good,0
3300,26260,Southern Grampians,1,Good,Good,0
3301,22410,Glenelg,0.0102275,Good,Good,0
3301,25490,Moyne,0.0967089,Acceptable,Good,0
3301,26260,Southern Grampians,0.8930636,Good,Good,0
3302,22410,Glenelg,0.2548937,Good,Good,0
3302,26260,Southern Grampians,0.7451063,Good,Good,0
3303,25490,Moyne,0.0452459,Acceptable,Good,0
3303,22410,Glenelg,0.9547541,Good,Good,0
3304,25490,Moyne,0.0387273,Acceptable,Good,0
3304,22410,Glenelg,0.9612727,Good,Good,0
3305,22410,Glenelg,1,Good,Good,0
3309,22410,Glenelg,1,Good,Good,0
3310,22410,Glenelg,1,Good,Good,0
3311,22410,Glenelg,1,Good,Good,0
3312,26260,Southern Grampians,0.0595445,Good,Good,0
3312,26890,West Wimmera,0.1810807,Acceptable,Good,0
3312,22410,Glenelg,0.7593748,Good,Good,0
3314,25810,Northern Grampians,0.0000281,Good,Good,1
3314,26260,Southern Grampians,0.9999719,Good,Good,0
3315,26890,West Wimmera,0.0015251,Acceptable,Good,1
3315,22410,Glenelg,0.0342854,Good,Good,0
3315,26260,Southern Grampians,0.9641896,Good,Good,0
3317,26260,Southern Grampians,0.133679,Good,Good,0
3317,26890,West Wimmera,0.866321,Acceptable,Good,0
3318,26890,West Wimmera,1,Acceptable,Good,0
3319,26890,West Wimmera,1,Acceptable,Good,0
3321,21750,Colac Otway,0.0089427,Good,Good,1
3321,26490,Surf Coast,0.0391112,Good,Good,0
3321,22490,Golden Plains,0.9519461,Acceptable,Good,0
3322,21830,Corangamite,0.0877021,Good,Good,0
3322,22490,Golden Plains,0.0983508,Acceptable,Good,0
3322,21750,Colac Otway,0.8139471,Good,Good,0
3323,22490,Golden Plains,0.0001156,Acceptable,Good,1
3323,21830,Corangamite,0.9998844,Good,Good,0
3324,22490,Golden Plains,0.0019114,Acceptable,Good,1
3324,21830,Corangamite,0.9980886,Good,Good,0
3325,21830,Corangamite,1,Good,Good,0
3328,22490,Golden Plains,1,Acceptable,Good,0
3329,21750,Colac Otway,0.0323906,Good,Good,0
3329,22490,Golden Plains,0.9676094,Acceptable,Good,0
3330,22490,Golden Plains,1,Acceptable,Good,0
3331,22490,Golden Plains,1,Acceptable,Good,0
3332,22490,Golden Plains,1,Acceptable,Good,0
3333,25150,Moorabool,0.0089843,Acceptable,Good,1
3333,22490,Golden Plains,0.9910157,Acceptable,Good,0
3334,22490,Golden Plains,0.003936,Acceptable,Good,1
3334,25150,Moorabool,0.996064,Acceptable,Good,0
3335,24650,Melton,1,Acceptable,Good,0
3336,24650,Melton,1,Acceptable,Good,0
3337,24130,Macedon Ranges,0.0001861,Good,Good,1
3337,24650,Melton,0.9998139,Acceptable,Good,0
3338,27260,Wyndham,0.0000003,Good,Good,1
3338,24650,Melton,0.9999997,Acceptable,Good,0
3340,24650,Melton,0.0010158,Acceptable,Good,1
3340,22750,Greater Geelong,0.0098832,Good,Good,1
3340,25150,Moorabool,0.9891009,Acceptable,Good,0
3341,25150,Moorabool,1,Acceptable,Good,0
3342,22490,Golden Plains,0.0023006,Acceptable,Good,1
3342,25150,Moorabool,0.9976994,Acceptable,Good,0
3345,25150,Moorabool,1,Acceptable,Good,0
3350,20570,Ballarat,1,Good,Good,0
3351,25490,Moyne,0.0013197,Acceptable,Good,1
3351,20570,Ballarat,0.0550375,Good,Good,0
3351,20260,Ararat,0.0700881,Acceptable,Good,0
3351,25990,Pyrenees,0.1353969,Poor,Good,0
3351,22490,Golden Plains,0.7381578,Acceptable,Good,0
3352,21830,Corangamite,0.0012722,Good,Good,1
3352,22910,Hepburn,0.0139392,Acceptable,Good,0
3352,25990,Pyrenees,0.057181,Poor,Good,0
3352,22490,Golden Plains,0.1372045,Acceptable,Good,0
3352,25150,Moorabool,0.2076861,Acceptable,Good,0
3352,20570,Ballarat,0.5827171,Good,Good,0
3355,20570,Ballarat,1,Good,Good,0
3356,20570,Ballarat,1,Good,Good,0
3357,25150,Moorabool,0.0323079,Acceptable,Good,0
3357,20570,Ballarat,0.9676921,Good,Good,0
3358,20570,Ballarat,1,Good,Good,0
3360,21830,Corangamite,0.0031153,Good,Good,1
