LGA_CODE_2021,LGA_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
36910,Toowoomba,314,Groom,0.928884,Good,Poor,0
36910,Toowoomba,321,Maranoa,0.071116,Acceptable,Poor,0
36950,Torres,318,Leichhardt,1,Acceptable,Poor,0
36960,Torres Strait Island,318,Leichhardt,1,Acceptable,Poor,0
37010,Townsville,306,Dawson,0.121854,Poor,Poor,0
37010,Townsville,315,Herbert,0.8400632,Acceptable,Poor,0
37010,Townsville,317,Kennedy,0.0380828,Acceptable,Poor,0
37300,Weipa,318,Leichhardt,1,Acceptable,Poor,0
37310,Western Downs,311,Flynn,3.00E-07,Acceptable,Poor,1
37310,Western Downs,321,Maranoa,0.9999997,Acceptable,Poor,0
37340,Whitsunday,305,Capricornia,0.0569251,Poor,Poor,0
37340,Whitsunday,306,Dawson,0.9430749,Poor,Poor,0
37400,Winton,321,Maranoa,1,Acceptable,Poor,0
37550,Woorabinda,311,Flynn,1,Acceptable,Poor,0
37570,Wujal Wujal,318,Leichhardt,1,Acceptable,Poor,0
37600,Yarrabah,317,Kennedy,0.999996,Acceptable,Poor,0
37600,Yarrabah,318,Leichhardt,4.00E-06,Acceptable,Poor,1
39499,No usual address (Qld),394,No usual address (Qld),1,Good,Poor,0
39799,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),1,Good,Poor,0
40070,Adelaide,401,Adelaide,1,Poor,Poor,0
40120,Adelaide Hills,408,Mayo,0.9567695,Acceptable,Poor,0
40120,Adelaide Hills,410,Sturt,0.0432305,Acceptable,Poor,0
40150,Adelaide Plains,404,Grey,1,Good,Poor,0
40220,Alexandrina,408,Mayo,1,Acceptable,Poor,0
40250,Anangu Pitjantjatjara Yunkunytjatjara,404,Grey,1,Good,Poor,0
40310,Barossa,402,Barker,0.9777356,Good,Poor,0
40310,Barossa,409,Spence,0.0222644,Acceptable,Poor,0
40430,Barunga West,404,Grey,1,Good,Poor,0
40520,Berri Barmera,402,Barker,1,Good,Poor,0
40700,Burnside,401,Adelaide,0.0154641,Poor,Poor,0
40700,Burnside,410,Sturt,0.9845359,Acceptable,Poor,0
40910,Campbelltown (SA),410,Sturt,1,Acceptable,Poor,0
41010,Ceduna,404,Grey,1,Good,Poor,0
41060,Charles Sturt,401,Adelaide,0.1825079,Poor,Poor,0
41060,Charles Sturt,405,Hindmarsh,0.8174921,Poor,Poor,0
41140,Clare and Gilbert Valleys,404,Grey,1,Good,Poor,0
41190,Cleve,404,Grey,1,Good,Poor,0
41330,Coober Pedy,404,Grey,1,Good,Poor,0
41560,Copper Coast,404,Grey,1,Good,Poor,0
41750,Elliston,404,Grey,1,Good,Poor,0
41830,Flinders Ranges,404,Grey,1,Good,Poor,0
41960,Franklin Harbour,404,Grey,1,Good,Poor,0
42030,Gawler,409,Spence,1,Acceptable,Poor,0
42110,Goyder,404,Grey,1,Good,Poor,0
42250,Grant,402,Barker,1,Good,Poor,0
42600,Holdfast Bay,403,Boothby,1,Acceptable,Poor,0
42750,Kangaroo Island,408,Mayo,1,Acceptable,Poor,0
43080,Karoonda East Murray,402,Barker,1,Good,Poor,0
43220,Kimba,404,Grey,1,Good,Poor,0
43360,Kingston (SA),402,Barker,1,Good,Poor,0
43650,Light,402,Barker,0.57241,Good,Poor,0
43650,Light,404,Grey,0.1602416,Good,Poor,0
43650,Light,409,Spence,0.2673484,Acceptable,Poor,0
43710,Lower Eyre Peninsula,404,Grey,1,Good,Poor,0
43790,Loxton Waikerie,402,Barker,1,Good,Poor,0
44000,Maralinga Tjarutja,404,Grey,1,Good,Poor,0
44060,Marion,403,Boothby,0.7599817,Acceptable,Poor,0
44060,Marion,406,Kingston,0.2400183,Poor,Poor,0
44210,Mid Murray,402,Barker,1,Good,Poor,0
44340,Mitcham,403,Boothby,0.8819716,Acceptable,Poor,0
44340,Mitcham,408,Mayo,0.1180284,Acceptable,Poor,0
44550,Mount Barker,408,Mayo,1,Acceptable,Poor,0
44620,Mount Gambier,402,Barker,1,Good,Poor,0
44830,Mount Remarkable,404,Grey,1,Good,Poor,0
45040,Murray Bridge,402,Barker,1,Good,Poor,0
45090,Naracoorte Lucindale,402,Barker,1,Good,Poor,0
45120,Northern Areas,404,Grey,1,Good,Poor,0
45290,Norwood Payneham and St Peters,410,Sturt,1,Acceptable,Poor,0
45340,Onkaparinga,406,Kingston,0.8182938,Poor,Poor,0
45340,Onkaparinga,408,Mayo,0.1817062,Acceptable,Poor,0
45400,Orroroo Carrieton,404,Grey,1,Good,Poor,0
45540,Peterborough,404,Grey,1,Good,Poor,0
45680,Playford,409,Spence,1,Acceptable,Poor,0
45890,Port Adelaide Enfield,401,Adelaide,0.472302,Poor,Poor,0
45890,Port Adelaide Enfield,405,Hindmarsh,0.3143466,Poor,Poor,0
45890,Port Adelaide Enfield,407,Makin,0.0386444,Poor,Poor,0
45890,Port Adelaide Enfield,410,Sturt,0.174707,Acceptable,Poor,0
46090,Port Augusta,404,Grey,1,Good,Poor,0
46300,Port Lincoln,404,Grey,1,Good,Poor,0
46450,Port Pirie,404,Grey,1,Good,Poor,0
46510,Prospect,401,Adelaide,1,Poor,Poor,0
46670,Renmark Paringa,402,Barker,1,Good,Poor,0
46860,Robe,402,Barker,1,Good,Poor,0
46970,Roxby Downs,404,Grey,1,Good,Poor,0
47140,Salisbury,407,Makin,0.5936883,Poor,Poor,0
47140,Salisbury,409,Spence,0.4063117,Acceptable,Poor,0
47290,Southern Mallee,402,Barker,1,Good,Poor,0
47490,Streaky Bay,404,Grey,1,Good,Poor,0
47630,Tatiara,402,Barker,1,Good,Poor,0
47700,Tea Tree Gully,407,Makin,0.8114546,Poor,Poor,0
47700,Tea Tree Gully,410,Sturt,0.1885454,Acceptable,Poor,0
47800,Coorong,402,Barker,1,Good,Poor,0
47910,Tumby Bay,404,Grey,1,Good,Poor,0
47980,Unley,401,Adelaide,0.6842872,Poor,Poor,0
47980,Unley,403,Boothby,0.1672503,Acceptable,Poor,0
47980,Unley,410,Sturt,0.1484624,Acceptable,Poor,0
48050,Victor Harbor,408,Mayo,1,Acceptable,Poor,0
48130,Wakefield,404,Grey,1,Good,Poor,0
48260,Walkerville,401,Adelaide,1,Poor,Poor,0
48340,Wattle Range,402,Barker,1,Good,Poor,0
48410,West Torrens,401,Adelaide,0.493091,Poor,Poor,0
48410,West Torrens,405,Hindmarsh,0.506909,Poor,Poor,0
48540,Whyalla,404,Grey,1,Good,Poor,0
48640,Wudinna,404,Grey,1,Good,Poor,0
48750,Yankalilla,408,Mayo,1,Acceptable,Poor,0
48830,Yorke Peninsula,404,Grey,1,Good,Poor,0
49399,Unincorporated SA,402,Barker,0.0325854,Good,Poor,0
49399,Unincorporated SA,404,Grey,0.9660563,Good,Poor,0
49399,Unincorporated SA,405,Hindmarsh,0.0013583,Poor,Poor,1
49499,No usual address (SA),494,No usual address (SA),1,Good,Poor,0
49799,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),1,Good,Poor,0
50080,Albany,511,O'Connor,1,Good,Poor,0
50210,Armadale,502,Burt,0.8604628,Acceptable,Poor,0
50210,Armadale,503,Canning,0.1395372,Good,Poor,0
50250,Ashburton,506,Durack,1,Good,Poor,0
50280,Augusta Margaret River,507,Forrest,1,Good,Poor,0
50350,Bassendean,513,Perth,1,Poor,Poor,0
50420,Bayswater,504,Cowan,0.3156756,Poor,Poor,0
50420,Bayswater,513,Perth,0.6843244,Poor,Poor,0
50490,Belmont,509,Hasluck,2.00E-07,Acceptable,Poor,1
50490,Belmont,514,Swan,0.9999998,Acceptable,Poor,0
50560,Beverley,511,O'Connor,1,Good,Poor,0
50630,Boddington,511,O'Connor,1,Good,Poor,0
50770,Boyup Brook,511,O'Connor,1,Good,Poor,0
50840,Bridgetown-Greenbushes,511,O'Connor,1,Good,Poor,0
50910,Brookton,511,O'Connor,1,Good,Poor,0
50980,Broome,506,Durack,1,Good,Poor,0
51080,Broomehill-Tambellup,511,O'Connor,1,Good,Poor,0
51120,Bruce Rock,511,O'Connor,1,Good,Poor,0
51190,Bunbury,507,Forrest,1,Good,Poor,0
51260,Busselton,507,Forrest,1,Good,Poor,0
51310,Cambridge,505,Curtin,1,Poor,Poor,0
51330,Canning,514,Swan,0.3225586,Acceptable,Poor,0
51330,Canning,515,Tangney,0.6774414,Poor,Poor,0
51400,Capel,507,Forrest,1,Good,Poor,0
51470,Carnamah,506,Durack,1,Good,Poor,0
51540,Carnarvon,506,Durack,1,Good,Poor,0
51610,Chapman Valley,506,Durack,1,Good,Poor,0
51680,Chittering,506,Durack,1,Good,Poor,0
51710,Christmas Island,701,Lingiari,1,Good,Poor,0
51750,Claremont,505,Curtin,1,Poor,Poor,0
51820,Cockburn,501,Brand,2.00E-07,Good,Poor,1
51820,Cockburn,508,Fremantle,0.9823207,Good,Poor,0
51820,Cockburn,515,Tangney,0.0176791,Poor,Poor,0
51860,Cocos Islands,701,Lingiari,1,Good,Poor,0
51890,Collie,511,O'Connor,1,Good,Poor,0
51960,Coolgardie,511,O'Connor,1,Good,Poor,0
52030,Coorow,506,Durack,1,Good,Poor,0
52100,Corrigin,511,O'Connor,1,Good,Poor,0
52170,Cottesloe,505,Curtin,1,Poor,Poor,0
52240,Cranbrook,511,O'Connor,1,Good,Poor,0
52310,Cuballing,511,O'Connor,1,Good,Poor,0
52380,Cue,506,Durack,1,Good,Poor,0
52450,Cunderdin,511,O'Connor,1,Good,Poor,0
52520,Dalwallinu,506,Durack,1,Good,Poor,0
52590,Dandaragan,506,Durack,1,Good,Poor,0
52660,Dardanup,507,Forrest,1,Good,Poor,0
52730,Denmark,511,O'Connor,1,Good,Poor,0
52800,Derby-West Kimberley,506,Durack,1,Good,Poor,0
52870,Donnybrook-Balingup,507,Forrest,1,Good,Poor,0
52940,Dowerin,506,Durack,1,Good,Poor,0
53010,Dumbleyung,511,O'Connor,1,Good,Poor,0
53080,Dundas,511,O'Connor,1,Good,Poor,0
53150,East Fremantle,508,Fremantle,1,Good,Poor,0
53220,East Pilbara,506,Durack,1,Good,Poor,0
53290,Esperance,511,O'Connor,1,Good,Poor,0
53360,Exmouth,506,Durack,1,Good,Poor,0
53430,Fremantle,508,Fremantle,1,Good,Poor,0
53570,Gingin,506,Durack,1,Good,Poor,0
53640,Gnowangerup,511,O'Connor,1,Good,Poor,0
53710,Goomalling,506,Durack,1,Good,Poor,0
53780,Gosnells,502,Burt,0.8015565,Acceptable,Poor,0
53780,Gosnells,503,Canning,0.0055691,Good,Poor,1
53780,Gosnells,515,Tangney,0.1928744,Poor,Poor,0
53800,Greater Geraldton,506,Durack,1,Good,Poor,0
53920,Halls Creek,506,Durack,1,Good,Poor,0
53990,Harvey,507,Forrest,1,Good,Poor,0
54060,Irwin,506,Durack,1,Good,Poor,0
54130,Jerramungup,511,O'Connor,1,Good,Poor,0
54170,Joondalup,504,Cowan,0.0857968,Poor,Poor,0
54170,Joondalup,510,Moore,0.9142032,Acceptable,Poor,0
54200,Kalamunda,503,Canning,0.0230809,Good,Poor,0
54200,Kalamunda,509,Hasluck,0.3570122,Acceptable,Poor,0
54200,Kalamunda,514,Swan,0.6199069,Acceptable,Poor,0
54280,Kalgoorlie-Boulder,511,O'Connor,1,Good,Poor,0
54310,Karratha,506,Durack,1,Good,Poor,0
54340,Katanning,511,O'Connor,1,Good,Poor,0
54410,Kellerberrin,511,O'Connor,1,Good,Poor,0
54480,Kent,511,O'Connor,1,Good,Poor,0
54550,Kojonup,511,O'Connor,1,Good,Poor,0
54620,Kondinin,511,O'Connor,1,Good,Poor,0
54690,Koorda,511,O'Connor,1,Good,Poor,0
54760,Kulin,511,O'Connor,1,Good,Poor,0
54830,Kwinana,501,Brand,1,Good,Poor,0
54900,Lake Grace,511,O'Connor,1,Good,Poor,0
54970,Laverton,511,O'Connor,1,Good,Poor,0
55040,Leonora,511,O'Connor,1,Good,Poor,0
55110,Mandurah,503,Canning,1,Good,Poor,0
55180,Manjimup,511,O'Connor,1,Good,Poor,0
55250,Meekatharra,506,Durack,1,Good,Poor,0
55320,Melville,508,Fremantle,0.1069431,Good,Poor,0
55320,Melville,515,Tangney,0.8930569,Poor,Poor,0
55390,Menzies,511,O'Connor,1,Good,Poor,0
55460,Merredin,511,O'Connor,1,Good,Poor,0
55530,Mingenew,506,Durack,1,Good,Poor,0
55600,Moora,506,Durack,1,Good,Poor,0
55670,Morawa,506,Durack,1,Good,Poor,0
55740,Mosman Park,505,Curtin,1,Poor,Poor,0
55810,Mount Magnet,506,Durack,1,Good,Poor,0
55880,Mount Marshall,511,O'Connor,1,Good,Poor,0
55950,Mukinbudin,511,O'Connor,1,Good,Poor,0
56090,Mundaring,509,Hasluck,1,Acceptable,Poor,0
56160,Murchison,506,Durack,1,Good,Poor,0
56230,Murray,503,Canning,1,Good,Poor,0
56300,Nannup,511,O'Connor,1,Good,Poor,0
56370,Narembeen,511,O'Connor,1,Good,Poor,0
56460,Narrogin,511,O'Connor,1,Good,Poor,0
56580,Nedlands,505,Curtin,1,Poor,Poor,0
56620,Ngaanyatjarraku,511,O'Connor,1,Good,Poor,0
56730,Northam,506,Durack,1,Good,Poor,0
56790,Northampton,506,Durack,1,Good,Poor,0
56860,Nungarin,511,O'Connor,1,Good,Poor,0
56930,Peppermint Grove,505,Curtin,1,Poor,Poor,0
57000,Perenjori,506,Durack,1,Good,Poor,0
57080,Perth,505,Curtin,0.1690978,Poor,Poor,0
57080,Perth,513,Perth,0.8309022,Poor,Poor,0
57140,Pingelly,511,O'Connor,1,Good,Poor,0
57210,Plantagenet,511,O'Connor,1,Good,Poor,0
57280,Port Hedland,506,Durack,1,Good,Poor,0
57350,Quairading,511,O'Connor,1,Good,Poor,0
57420,Ravensthorpe,511,O'Connor,1,Good,Poor,0
57490,Rockingham,501,Brand,1,Good,Poor,0
57630,Sandstone,506,Durack,1,Good,Poor,0
57700,Serpentine-Jarrahdale,503,Canning,1,Good,Poor,0
57770,Shark Bay,506,Durack,1,Good,Poor,0
57840,South Perth,514,Swan,1,Acceptable,Poor,0
57910,Stirling,504,Cowan,0.3573117,Poor,Poor,0
57910,Stirling,505,Curtin,0.3085775,Poor,Poor,0
57910,Stirling,510,Moore,0.075952,Acceptable,Poor,0
57910,Stirling,513,Perth,0.2581588,Poor,Poor,0
57980,Subiaco,505,Curtin,1,Poor,Poor,0
58050,Swan,504,Cowan,0.2134444,Poor,Poor,0
58050,Swan,506,Durack,0.0366454,Good,Poor,0
58050,Swan,509,Hasluck,0.749208,Acceptable,Poor,0
58050,Swan,512,Pearce,0.0006622,Acceptable,Poor,1
58050,Swan,514,Swan,4.01E-05,Acceptable,Poor,1
58190,Tammin,511,O'Connor,1,Good,Poor,0
58260,Three Springs,506,Durack,1,Good,Poor,0
58330,Toodyay,506,Durack,1,Good,Poor,0
58400,Trayning,511,O'Connor,1,Good,Poor,0
58470,Upper Gascoyne,506,Durack,1,Good,Poor,0
58510,Victoria Park,514,Swan,1,Acceptable,Poor,0
58540,Victoria Plains,506,Durack,1,Good,Poor,0
58570,Vincent,513,Perth,1,Poor,Poor,0
58610,Wagin,511,O'Connor,1,Good,Poor,0
58680,Wandering,511,O'Connor,1,Good,Poor,0
58760,Wanneroo,504,Cowan,0.1486863,Poor,Poor,0
58760,Wanneroo,510,Moore,0.0030325,Acceptable,Poor,1
58760,Wanneroo,512,Pearce,0.8482811,Acceptable,Poor,0
58820,Waroona,503,Canning,1,Good,Poor,0
58890,West Arthur,511,O'Connor,1,Good,Poor,0
59030,Westonia,511,O'Connor,1,Good,Poor,0
59100,Wickepin,511,O'Connor,1,Good,Poor,0
59170,Williams,511,O'Connor,1,Good,Poor,0
59250,Wiluna,511,O'Connor,1,Good,Poor,0
59310,Wongan-Ballidu,506,Durack,1,Good,Poor,0
59320,Woodanilling,511,O'Connor,1,Good,Poor,0
59330,Wyalkatchem,511,O'Connor,1,Good,Poor,0
59340,Wyndham-East Kimberley,506,Durack,1,Good,Poor,0
59350,Yalgoo,506,Durack,1,Good,Poor,0
59360,Yilgarn,511,O'Connor,1,Good,Poor,0
59370,York,506,Durack,1,Good,Poor,0
59499,No usual address (WA),594,No usual address (WA),1,Good,Poor,0
59799,Migratory - Offshore - Shipping (WA),597,Migratory - Offshore - Shipping (WA),1,Good,Poor,0
60210,Break O'Day,601,Bass,1.18E-05,Good,Poor,1
60210,Break O'Day,605,Lyons,0.9999882,Good,Poor,0
60410,Brighton,605,Lyons,1,Good,Poor,0
60610,Burnie,602,Braddon,1,Good,Poor,0
60810,Central Coast (Tas.),602,Braddon,1,Good,Poor,0
61010,Central Highlands (Tas.),605,Lyons,1,Good,Poor,0
61210,Circular Head,602,Braddon,1,Good,Poor,0
61410,Clarence,604,Franklin,0.9710114,Good,Poor,0
61410,Clarence,605,Lyons,0.0289886,Good,Poor,0
61510,Derwent Valley,605,Lyons,1,Good,Poor,0
61610,Devonport,602,Braddon,1,Good,Poor,0
61810,Dorset,601,Bass,1,Good,Poor,0
62010,Flinders (Tas.),601,Bass,1,Good,Poor,0
62210,George Town,601,Bass,1,Good,Poor,0
62410,Glamorgan-Spring Bay,605,Lyons,1,Good,Poor,0
62610,Glenorchy,603,Clark,1,Good,Poor,0
62810,Hobart,603,Clark,1,Good,Poor,0
63010,Huon Valley,604,Franklin,1,Good,Poor,0
63210,Kentish,605,Lyons,1,Good,Poor,0
63410,King Island,602,Braddon,1,Good,Poor,0
63610,Kingborough,603,Clark,0.1557203,Good,Poor,0
63610,Kingborough,604,Franklin,0.8442797,Good,Poor,0
63810,Latrobe (Tas.),602,Braddon,1,Good,Poor,0
64010,Launceston,601,Bass,1,Good,Poor,0
64210,Meander Valley,601,Bass,5.00E-07,Good,Poor,1
64210,Meander Valley,605,Lyons,0.9999995,Good,Poor,0
64610,Northern Midlands,605,Lyons,1,Good,Poor,0
64810,Sorell,604,Franklin,6.00E-07,Good,Poor,1
64810,Sorell,605,Lyons,0.9999994,Good,Poor,0
65010,Southern Midlands,605,Lyons,1,Good,Poor,0
65210,Tasman,605,Lyons,1,Good,Poor,0
65410,Waratah-Wynyard,602,Braddon,1,Good,Poor,0
65610,West Coast,602,Braddon,1,Good,Poor,0
65810,West Tamar,601,Bass,0.9999992,Good,Poor,0
65810,West Tamar,605,Lyons,8.00E-07,Good,Poor,1
69499,No usual address (Tas.),694,No usual address (Tas.),1,Good,Poor,0
69799,Migratory - Offshore - Shipping (Tas.),697,Migratory - Offshore - Shipping (Tas.),1,Good,Poor,0
70200,Alice Springs,701,Lingiari,1,Good,Poor,0
70420,Barkly,701,Lingiari,1,Good,Poor,0
70540,Belyuen,701,Lingiari,1,Good,Poor,0
70620,Central Desert,701,Lingiari,1,Good,Poor,0
70700,Coomalie,701,Lingiari,1,Good,Poor,0
71000,Darwin,702,Solomon,1,Good,Poor,0
71150,Darwin Waterfront Precinct,702,Solomon,1,Good,Poor,0
71300,East Arnhem,701,Lingiari,1,Good,Poor,0
72200,Katherine,701,Lingiari,1,Good,Poor,0
72300,Litchfield,701,Lingiari,1,Good,Poor,0
72330,MacDonnell,701,Lingiari,1,Good,Poor,0
72800,Palmerston,701,Lingiari,0.2206447,Good,Poor,0
72800,Palmerston,702,Solomon,0.7793553,Good,Poor,0
73600,Roper Gulf,701,Lingiari,1,Good,Poor,0
74050,Tiwi Islands,701,Lingiari,1,Good,Poor,0
74550,Victoria Daly,701,Lingiari,1,Good,Poor,0
74560,Wagait,701,Lingiari,1,Good,Poor,0
74660,West Arnhem,701,Lingiari,1,Good,Poor,0
74680,West Daly,701,Lingiari,1,Good,Poor,0
79399,Unincorporated NT,701,Lingiari,0.938725,Good,Poor,0
79399,Unincorporated NT,702,Solomon,0.061275,Good,Poor,0
79499,No usual address (NT),794,No usual address (NT),1,Good,Poor,0
79799,Migratory - Offshore - Shipping (NT),797,Migratory - Offshore - Shipping (NT),1,Good,Poor,0
89399,Unincorporated ACT,801,Bean,0.3311986,Poor,Poor,0
89399,Unincorporated ACT,802,Canberra,0.3207808,Poor,Poor,0
89399,Unincorporated ACT,803,Fenner,0.3480206,Poor,Poor,0
89499,No usual address (ACT),894,No usual address (ACT),1,Good,Poor,0
89799,Migratory - Offshore - Shipping (ACT),897,Migratory - Offshore - Shipping (ACT),1,Good,Poor,0
99399,Unincorp. Other Territories,801,Bean,0.8764507,Poor,Poor,0
99399,Unincorp. Other Territories,803,Fenner,0.1235493,Poor,Poor,0
99499,No usual address (OT),994,No usual address (OT),1,Good,Poor,0
99799,Migratory - Offshore - Shipping (OT),997,Migratory - Offshore - Shipping (OT),1,Good,Poor,0
ZZZZZ,Outside Australia,ZZZ,Outside Australia,1,Good,Poor,0
